#ROD_Channel ROC_Channel Straw# HW_addr Board GOL
30 0 209 22 1L 0
30 1 208 22 1L 0
30 2 242 22 1L 0
30 3 174 22 1L 0
30 4 207 22 1L 0
30 5 191 22 1L 0
30 6 171 22 1L 0
30 7 226 22 1L 0
30 8 189 22 1L 0
30 9 190 22 1L 0
30 10 225 22 1L 0
30 11 172 22 1L 0
30 12 224 22 1L 0
30 13 206 22 1L 0
30 14 241 22 1L 0
30 15 205 22 1L 0
32 0 231 23 1L 0
32 1 248 23 1L 0
32 2 211 23 1L 0
32 3 213 23 1L 0
32 4 228 23 1L 0
32 5 195 23 1L 0
32 6 176 23 1L 0
32 7 230 23 1L 0
32 8 193 23 1L 0
32 9 194 23 1L 0
32 10 229 23 1L 0
32 11 212 23 1L 0
32 12 210 23 1L 0
32 13 175 23 1L 0
32 14 227 23 1L 0
32 15 192 23 1L 0
34 0 235 24 1L 0
34 1 217 24 1L 0
34 2 234 24 1L 0
34 3 199 24 1L 0
34 4 215 24 1L 0
34 5 232 24 1L 0
34 6 197 24 1L 0
34 7 216 24 1L 0
34 8 198 24 1L 0
34 9 233 24 1L 0
34 10 181 24 1L 0
34 11 250 24 1L 0
34 12 180 24 1L 0
34 13 214 24 1L 0
34 14 196 24 1L 0
34 15 249 24 1L 0
36 0 179 25 1L 0
36 1 163 25 1L 0
36 2 160 25 1L 0
36 3 146 25 1L 0
36 4 129 25 1L 0
36 5 178 25 1L 0
36 6 128 25 1L 0
36 7 144 25 1L 0
36 8 145 25 1L 0
36 9 162 25 1L 0
36 10 112 25 1L 0
36 11 161 25 1L 0
36 12 127 25 1L 0
36 13 177 25 1L 0
36 14 143 25 1L 0
36 15 159 25 1L 0
38 0 142 26 1L 0
38 1 158 26 1L 0
38 2 173 26 1L 0
38 3 126 26 1L 0
38 4 156 26 1L 0
38 5 125 26 1L 0
38 6 107 26 1L 0
38 7 157 26 1L 0
38 8 124 26 1L 0
38 9 108 26 1L 0
38 10 140 26 1L 0
38 11 141 26 1L 0
38 12 154 26 1L 0
38 13 123 26 1L 0
38 14 155 26 1L 0
38 15 139 26 1L 0
40 0 91 27 1L 0
40 1 60 27 1L 0
40 2 92 27 1L 0
40 3 45 27 1L 0
40 4 110 27 1L 0
40 5 94 27 1L 0
40 6 77 27 1L 0
40 7 93 27 1L 0
40 8 109 27 1L 0
40 9 111 27 1L 0
40 10 46 27 1L 0
40 11 95 27 1L 0
40 12 76 27 1L 0
40 13 61 27 1L 0
40 14 62 27 1L 0
40 15 78 27 1L 0
42 0 364 1 2S 1
42 1 344 1 2S 1
42 2 347 1 2S 1
42 3 346 1 2S 1
42 4 345 1 2S 1
42 5 384 1 2S 1
42 6 365 1 2S 1
42 7 405 1 2S 1
42 8 366 1 2S 1
42 9 406 1 2S 1
42 10 367 1 2S 1
42 11 386 1 2S 1
42 12 385 1 2S 1
42 13 427 1 2S 1
42 14 387 1 2S 1
42 15 407 1 2S 1
44 0 360 2 2S 1
44 1 380 2 2S 1
44 2 343 2 2S 1
44 3 400 2 2S 1
44 4 342 2 2S 1
44 5 401 2 2S 1
44 6 341 2 2S 1
44 7 382 2 2S 1
44 8 361 2 2S 1
44 9 404 2 2S 1
44 10 402 2 2S 1
44 11 381 2 2S 1
44 12 362 2 2S 1
44 13 383 2 2S 1
44 14 363 2 2S 1
44 15 403 2 2S 1
46 0 356 3 2S 1
46 1 376 3 2S 1
46 2 337 3 2S 1
46 3 397 3 2S 1
46 4 339 3 2S 1
46 5 398 3 2S 1
46 6 358 3 2S 1
46 7 378 3 2S 1
46 8 357 3 2S 1
46 9 377 3 2S 1
