#ROD_Channel ROC_Channel Straw# HW_addr Board GOL
0 0 34 1 1S 0
0 1 18 1 1S 0
0 2 16 1 1S 0
0 3 50 1 1S 0
0 4 1 1 1S 0
0 5 49 1 1S 0
0 6 48 1 1S 0
0 7 2 1 1S 0
0 8 32 1 1S 0
0 9 33 1 1S 0
0 10 17 1 1S 0
0 11 63 1 1S 0
0 12 0 1 1S 0
0 13 47 1 1S 0
0 14 15 1 1S 0
0 15 31 1 1S 0
2 0 6 2 1S 0
2 1 21 2 1S 0
2 2 -2 2 1S 0
2 3 37 2 1S 0
2 4 4 2 1S 0
2 5 52 2 1S 0
2 6 35 2 1S 0
2 7 5 2 1S 0
2 8 -2 2 1S 0
2 9 51 2 1S 0
2 10 20 2 1S 0
2 11 36 2 1S 0
2 12 19 2 1S 0
2 13 -2 2 1S 0
2 14 3 2 1S 0
2 15 -2 2 1S 0
4 0 25 3 1S 0
4 1 10 3 1S 0
4 2 23 3 1S 0
4 3 56 3 1S 0
4 4 8 3 1S 0
4 5 40 3 1S 0
4 6 54 3 1S 0
4 7 9 3 1S 0
4 8 -2 3 1S 0
4 9 39 3 1S 0
4 10 24 3 1S 0
4 11 55 3 1S 0
4 12 7 3 1S 0
4 13 38 3 1S 0
4 14 22 3 1S 0
4 15 53 3 1S 0
6 0 13 4 1S 0
6 1 12 4 1S 0
6 2 11 4 1S 0
6 3 44 4 1S 0
6 4 29 4 1S 0
6 5 30 4 1S 0
6 6 58 4 1S 0
6 7 28 4 1S 0
6 8 42 4 1S 0
6 9 43 4 1S 0
6 10 14 4 1S 0
6 11 59 4 1S 0
6 12 27 4 1S 0
6 13 57 4 1S 0
6 14 26 4 1S 0
6 15 41 4 1S 0
8 0 75 5 1S 0
8 1 74 5 1S 0
8 2 88 5 1S 0
8 3 106 5 1S 0
8 4 72 5 1S 0
8 5 122 5 1S 0
8 6 105 5 1S 0
8 7 89 5 1S 0
8 8 121 5 1S 0
8 9 138 5 1S 0
8 10 73 5 1S 0
8 11 90 5 1S 0
8 12 87 5 1S 0
