This is the correspondance between 3 ways to identify Pixel, IBL and DBM modules:

1) The Identifier column, an integer computed from the identifier between []
2) The Id between [ ]:
    3rd number: -4 for DBM C, + 4 for DBM A
                -2 for ECC, +2 for ECA
		 0 for Barrel
    4th digit: disks for DBM, ECC and ECA
               Layer for barrel : 0 for IBL, 1 for B-layer, 2 for Layer 1 and 3 for layer 2.
    5th digit: Phi module
    6th digit: Eta module
    
    In occupancy plots and several outputs, (eta,phi) are the digits 6 and 5.
    
3) The Module name: a "human" readable name, with geographic informations (disks, bistave, stave, eta and phi indices)     	        		 


PixMapOverlayWr...   INFO HashID   IDentifier                   Module name         	Status
PixMapOverlayWr...   INFO    51     19353600  [2.1.-2.0.39.0.0.0]D1C-B04-S2-M2   	
PixMapOverlayWr...   INFO    52     19419136  [2.1.-2.0.40.0.0.0]D1C-B04-S2-M6   	
PixMapOverlayWr...   INFO    53     19484672  [2.1.-2.0.41.0.0.0]D1C-B04-S2-M1   	
PixMapOverlayWr...   INFO    54     19550208  [2.1.-2.0.42.0.0.0]D1C-B01-S1-M4   	
PixMapOverlayWr...   INFO    55     19615744  [2.1.-2.0.43.0.0.0]D1C-B01-S1-M3   	
PixMapOverlayWr...   INFO    56     19681280  [2.1.-2.0.44.0.0.0]D1C-B01-S1-M5   	
PixMapOverlayWr...   INFO    57     19746816  [2.1.-2.0.45.0.0.0]D1C-B01-S1-M2   	
PixMapOverlayWr...   INFO    58     19812352  [2.1.-2.0.46.0.0.0]D1C-B01-S1-M6   	
PixMapOverlayWr...   INFO    59     19877888  [2.1.-2.0.47.0.0.0]D1C-B01-S1-M1   	
PixMapOverlayWr...   INFO    60     20992000  [2.1.-2.1.0.0.0.0] D2C-B01-S2-M4   
PixMapOverlayWr...   INFO    61     21057536  [2.1.-2.1.1.0.0.0] D2C-B01-S2-M3   
PixMapOverlayWr...   INFO    62     21123072  [2.1.-2.1.2.0.0.0] D2C-B01-S2-M5   
PixMapOverlayWr...   INFO    63     21188608  [2.1.-2.1.3.0.0.0] D2C-B01-S2-M2   
PixMapOverlayWr...   INFO    64     21254144  [2.1.-2.1.4.0.0.0] D2C-B01-S2-M6   
PixMapOverlayWr...   INFO    65     21319680  [2.1.-2.1.5.0.0.0] D2C-B01-S2-M1   
PixMapOverlayWr...   INFO    66     21385216  [2.1.-2.1.6.0.0.0] D2C-B02-S1-M4   
PixMapOverlayWr...   INFO    67     21450752  [2.1.-2.1.7.0.0.0] D2C-B02-S1-M3   
PixMapOverlayWr...   INFO    68     21516288  [2.1.-2.1.8.0.0.0] D2C-B02-S1-M5   
PixMapOverlayWr...   INFO    69     21581824  [2.1.-2.1.9.0.0.0] D2C-B02-S1-M2   
PixMapOverlayWr...   INFO    70     21647360  [2.1.-2.1.10.0.0.0]D2C-B02-S1-M6   
PixMapOverlayWr...   INFO    71     21712896  [2.1.-2.1.11.0.0.0]D2C-B02-S1-M1   
PixMapOverlayWr...   INFO    72     21778432  [2.1.-2.1.12.0.0.0]D2C-B02-S2-M4   
PixMapOverlayWr...   INFO    73     21843968  [2.1.-2.1.13.0.0.0]D2C-B02-S2-M3   
PixMapOverlayWr...   INFO    74     21909504  [2.1.-2.1.14.0.0.0]D2C-B02-S2-M5   
PixMapOverlayWr...   INFO    75     21975040  [2.1.-2.1.15.0.0.0]D2C-B02-S2-M2   
PixMapOverlayWr...   INFO    76     22040576  [2.1.-2.1.16.0.0.0]D2C-B02-S2-M6   
PixMapOverlayWr...   INFO    77     22106112  [2.1.-2.1.17.0.0.0]D2C-B02-S2-M1   
PixMapOverlayWr...   INFO    78     22171648  [2.1.-2.1.18.0.0.0]D2C-B03-S1-M4   
PixMapOverlayWr...   INFO    79     22237184  [2.1.-2.1.19.0.0.0]D2C-B03-S1-M3   
PixMapOverlayWr...   INFO    80     22302720  [2.1.-2.1.20.0.0.0]D2C-B03-S1-M5   
PixMapOverlayWr...   INFO    81     22368256  [2.1.-2.1.21.0.0.0]D2C-B03-S1-M2   
PixMapOverlayWr...   INFO    82     22433792  [2.1.-2.1.22.0.0.0]D2C-B03-S1-M6   
PixMapOverlayWr...   INFO    83     22499328  [2.1.-2.1.23.0.0.0]D2C-B03-S1-M1   
PixMapOverlayWr...   INFO    84     22564864  [2.1.-2.1.24.0.0.0]D2C-B03-S2-M4   
PixMapOverlayWr...   INFO    85     22630400  [2.1.-2.1.25.0.0.0]D2C-B03-S2-M3   
PixMapOverlayWr...   INFO    86     22695936  [2.1.-2.1.26.0.0.0]D2C-B03-S2-M5   
PixMapOverlayWr...   INFO    87     22761472  [2.1.-2.1.27.0.0.0]D2C-B03-S2-M2   
PixMapOverlayWr...   INFO    88     22827008  [2.1.-2.1.28.0.0.0]D2C-B03-S2-M6   
PixMapOverlayWr...   INFO    89     22892544  [2.1.-2.1.29.0.0.0]D2C-B03-S2-M1   
PixMapOverlayWr...   INFO    90     22958080  [2.1.-2.1.30.0.0.0]D2C-B04-S1-M4   
PixMapOverlayWr...   INFO    91     23023616  [2.1.-2.1.31.0.0.0]D2C-B04-S1-M3   
PixMapOverlayWr...   INFO    92     23089152  [2.1.-2.1.32.0.0.0]D2C-B04-S1-M5   
PixMapOverlayWr...   INFO    93     23154688  [2.1.-2.1.33.0.0.0]D2C-B04-S1-M2   
PixMapOverlayWr...   INFO    94     23220224  [2.1.-2.1.34.0.0.0]D2C-B04-S1-M6   
PixMapOverlayWr...   INFO    95     23285760  [2.1.-2.1.35.0.0.0]D2C-B04-S1-M1   
PixMapOverlayWr...   INFO    96     23351296  [2.1.-2.1.36.0.0.0]D2C-B04-S2-M4   
PixMapOverlayWr...   INFO    97     23416832  [2.1.-2.1.37.0.0.0]D2C-B04-S2-M3   
PixMapOverlayWr...   INFO    98     23482368  [2.1.-2.1.38.0.0.0]D2C-B04-S2-M5   
PixMapOverlayWr...   INFO    99     23547904  [2.1.-2.1.39.0.0.0]D2C-B04-S2-M2   
PixMapOverlayWr...   INFO   100     23613440  [2.1.-2.1.40.0.0.0]D2C-B04-S2-M6   
