0   20480   2 1 -4 0 0 0 0 0  LI_S15_C_34_M3_C1_2  	
1   86016   2 1 -4 0 1 0 0 0  LI_S15_C_34_M4_C4_2  	
2   151552   2 1 -4 0 2 0 0 0  LI_S15_C_12_M1_C1_1  	
3   217088   2 1 -4 0 3 0 0 0  LI_S15_C_12_M2_C4_1  	
4   4214784   2 1 -4 1 0 0 0 0  LI_S15_C_34_M3_C2_2  	
5   4280320   2 1 -4 1 1 0 0 0  LI_S15_C_34_M4_C5_2  	
6   4345856   2 1 -4 1 2 0 0 0  LI_S15_C_12_M1_C2_1  	
7   4411392   2 1 -4 1 3 0 0 0  LI_S15_C_12_M2_C5_1  	
8   8409088   2 1 -4 2 0 0 0 0  LI_S15_C_34_M3_C3_2  	
9   8474624   2 1 -4 2 1 0 0 0  LI_S15_C_34_M4_C6_2  	
10  8540160   2 1 -4 2 2 0 0 0  LI_S15_C_12_M1_C3_1  	
11  8605696   2 1 -4 2 3 0 0 0  LI_S15_C_12_M2_C6_1  	
12  16797696   2 1 -2 0 0 0 0 0  D1C-B01-S2-M4   	
13  16863232   2 1 -2 0 1 0 0 0  D1C-B01-S2-M3   	
14  16928768   2 1 -2 0 2 0 0 0  D1C-B01-S2-M5   	
15  16994304   2 1 -2 0 3 0 0 0  D1C-B01-S2-M2   	
16  17059840   2 1 -2 0 4 0 0 0  D1C-B01-S2-M6   	
17  17125376   2 1 -2 0 5 0 0 0  D1C-B01-S2-M1   	
18  17190912   2 1 -2 0 6 0 0 0  D1C-B02-S1-M4   	
19  17256448   2 1 -2 0 7 0 0 0  D1C-B02-S1-M3   	
20  17321984   2 1 -2 0 8 0 0 0  D1C-B02-S1-M5   	
21  17387520   2 1 -2 0 9 0 0 0  D1C-B02-S1-M2   	
22  17453056   2 1 -2 0 10 0 0 0 D1C-B02-S1-M6   	
23  17518592   2 1 -2 0 11 0 0 0 D1C-B02-S1-M1   	
24  17584128   2 1 -2 0 12 0 0 0 D1C-B02-S2-M4   	
25  17649664   2 1 -2 0 13 0 0 0 D1C-B02-S2-M3   	
26  17715200   2 1 -2 0 14 0 0 0 D1C-B02-S2-M5   	
27  17780736   2 1 -2 0 15 0 0 0 D1C-B02-S2-M2   	
28  17846272   2 1 -2 0 16 0 0 0 D1C-B02-S2-M6   	
29  17911808   2 1 -2 0 17 0 0 0 D1C-B02-S2-M1   	
30  17977344   2 1 -2 0 18 0 0 0 D1C-B03-S1-M4   	
31  18042880   2 1 -2 0 19 0 0 0 D1C-B03-S1-M3   	
