1 LI_S01_A_ENV_TTa28 LI_S01_C_ENV_TTa30
2 LI_S02_C_ENV_TTb28 LI_S02_A_ENV_TTb30
3 LI_S03_A_ENV_TTc28 LI_S03_C_ENV_TTc30
4 LI_S04_C_ENV_TTd28 LI_S04_A_ENV_TTd30
5 LI_S05_A_ENV_TTe28 LI_S05_C_ENV_TTe30
6 LI_S06_C_ENV_TTf28 LI_S06_A_ENV_TTf30
7 LI_S07_A_ENV_TTg28 LI_S07_C_ENV_TTg30
8 LI_S08_C_ENV_TTh28 LI_S08_A_ENV_TTh30
9 LI_S09_A_ENV_TTi28 LI_S09_C_ENV_TTi30
10 LI_S10_C_ENV_TTj28 LI_S10_A_ENV_TTj30
11 LI_S11_A_ENV_TTk28 LI_S11_C_ENV_TTk30
12 LI_S12_C_ENV_TTl28 LI_S12_A_ENV_TTl30
13 LI_S13_A_ENV_TTm28 LI_S13_C_ENV_TTm30
14 LI_S14_C_ENV_TTn28 LI_S14_A_ENV_TTn30
