  0.    0.5685    1.3560
  1.    0.5898    1.3310
  2.    0.6112    1.3702
  3.    0.6112    1.3058
  4.    0.6147    1.2819
  5.    0.6360    1.2747
  6.    0.6009    1.3169
  7.    0.5885    1.3010
  8.    0.6101    1.2916
  9.    0.5742    1.3113
 10.    0.5914    1.2587
 11.    0.6074    1.2615
 12.    0.6127    1.3187
 13.    0.6182    1.2892
 14.    0.6192    1.3238
 15.    0.5962    1.3433
 16.    0.5876    1.3132
 17.    0.5926    1.3436
 18.    0.5746    1.0905
 19.    0.5752    1.1365
 20.    0.5930    1.7140
 21.    0.5796    1.4163
 22.    0.6420    1.3979
 23.    0.6545    1.3679
 24.    0.5327    1.1852
 25.    0.5503    1.1873
 26.    0.6818    1.2664
 27.    0.6891    1.2121
 28.    0.6770    1.2016
 29.    0.6110    1.2640
 30.    0.4604    0.4094
 31.    0.4079    0.4109
 32.    0.5881    1.2139
 33.    0.5962    1.0159
 34.    0.7144    1.2221
 35.    0.7272    1.1814
 36.    0.5740    1.2796
 37.    0.5630    1.1966
 38.    0.6486    1.2971
 39.    0.7213    1.5453
 40.    0.6142    1.3899
 41.    0.6516    1.2137
 42.    0.6041    1.3058
 43.    0.2692    0.4681
 44.    0.6019    1.3315
 45.    0.6215    1.8604
 46.    0.5318    1.4101
 47.    0.5758    1.6461
   0    0.5685    1.3560
   1    0.5898    1.3310
   2    0.6112    1.3702
   3    0.6112    1.3058
   4    0.6147    1.2819
   5    0.6360    1.2747
   6    0.6009    1.3169
   7    0.5885    1.3010
   8    0.6101    1.2916
   9    0.5742    1.3113
  10    0.5914    1.2587
  11    0.6074    1.2615
  12    0.6127    1.3187
  13    0.6182    1.2892
  14    0.6192    1.3238
  15    0.5962    1.3433
  16    0.5876    1.3132
  17    0.5926    1.3436
  18    0.2692    0.4681
  19    0.2692    0.4681
  20    0.5930    1.7140
  21    0.5796    1.4163
  22    0.6420    1.3979
  23    0.6545    1.3679
  24    0.2692    0.4681
  25    0.2692    0.4681
  26    0.2692    0.4681
  27    0.2692    0.4681
  28    0.2692    0.4681
  29    0.2692    0.4681
  30    0.5885    1.3010
  31    0.6770    1.2016
  32    0.6891    1.2121
  33    0.2692    0.4681
  34    0.2692    0.4681
  35    0.7272    1.1814
  36    0.5685    1.3560
  37    0.5630    1.1966
  38    0.6486    1.2971
  39    0.6019    1.3315
  40    0.7213    1.5453
  41    0.6142    1.3899
  42    0.2692    0.4681
  43    0.2692    0.4681
  44    0.2692    0.4681
  45    0.2692    0.4681
  46    0.2692    0.4681
  47    0.2692    0.4681
