  -100                -0      -1.120148698      -1.120148698      -1.120148698      -1.120148698      -1.120148698      -3.015107858      -30.09242125       13.09304198
   -99      -1.040041817      -1.040041817      -1.040041817      -1.040041817      -1.040041817      -1.040041817      -3.493910195      -28.60216678       13.40641718
   -98     -0.9747355649     -0.9747355649     -0.9747355649     -0.9747355649     -0.9747355649     -0.8326829078      -4.020678099      -27.27165065       13.75616222
   -97     -0.9196157337     -0.9196157337     -0.9196157337     -0.9196157337     -0.9196157337     -0.6535394285      -4.551838447       -26.0319363       14.11381731
   -96     -0.8748083278     -0.8748083278     -0.8748083278     -0.8748083278     -0.8748083278     -0.4974611926      -5.137341152      -24.88467599       14.48837969
   -95     -0.8393245508     -0.8393245508     -0.8393245508     -0.8393245508     -0.8393245508     -0.3591995925      -5.769556775      -23.82113933       14.88362291
   -94      -0.809281916      -0.809281916      -0.809281916      -0.809281916      -0.809281916     -0.2492429445      -6.436371822      -22.78768977        15.2725163
   -93     -0.7859580038     -0.7859580038     -0.7859580038     -0.7859580038     -0.7859580038     -0.1484383448       -7.16254082      -21.79921284       15.67078849
   -92     -0.7677889117     -0.7677889117     -0.7677889117     -0.7677889117     -0.7677889117    -0.05398345723      -7.948216435      -20.82848814       16.06495879
   -91     -0.7543172861     -0.7543172861     -0.7543172861     -0.7543172861     -0.7543172861      0.0361150941      -8.771990929      -19.87016799       16.45463133
   -90     -0.7441743388     -0.7441743388     -0.7441743388     -0.7441743388     -0.7441743388      0.1085860039      -9.652200924      -18.89602015       16.82235327
   -89     -0.7373406109     -0.7373406109     -0.7373406109     -0.7373406109     -0.7373406109      0.1505762546      -10.58238777      -17.90080776       17.16533659
   -88     -0.7323472347     -0.7323472347     -0.7323472347     -0.7323472347     -0.7323472347      0.2067018593      -11.56864245      -16.85386209        17.4587728
   -87     -0.7286627869     -0.7286627869     -0.7286627869     -0.7286627869     -0.7286627869      0.2192050457       -12.5831437      -15.75283144       17.69562487
   -86      -0.725608349      -0.725608349      -0.725608349      -0.725608349      -0.725608349      0.2174824483      -13.60509394      -14.59150355       17.86522695
   -85     -0.7237717012     -0.7237717012     -0.7237717012     -0.7237717012     -0.7237717012      0.2018985803      -14.63199177      -13.37461234       17.96997447
   -84      -0.720140147      -0.720140147      -0.720140147      -0.720140147      -0.720140147      0.1575122374      -15.62597773      -12.07586976       17.96917508
   -83     -0.7159478168     -0.7159478168     -0.7159478168     -0.7159478168     -0.7159478168     0.08517564199      -16.58803195      -10.70948425       17.87291189
   -82     -0.7106745973     -0.7106745973     -0.7106745973     -0.7106745973     -0.7106745973    -0.02862116201      -17.46923192      -9.300068616       17.69163667
   -81      -0.703901609      -0.703901609      -0.703901609      -0.703901609      -0.703901609     -0.1824200287      -18.27701831      -7.836682921       17.40709055
   -80     -0.6957982758     -0.6957982758     -0.6957982758     -0.6957982758     -0.6957982758     -0.3464942742      -18.96146166      -6.363616761       17.05272504
   -79     -0.6850847203     -0.6850847203     -0.6850847203     -0.6850847203     -0.6850847203     -0.5732318243      -19.51111219      -4.879941261       16.61321279
   -78     -0.6745818812     -0.6745818812     -0.6745818812     -0.6745818812     -0.6745818812     -0.8201205621      -19.96195054      -3.406397044       16.12709264
   -77     -0.6616077981     -0.6616077981     -0.6616077981     -0.6616077981     -0.6616077981      -1.108368289      -20.25533912      -1.964319656       15.58867156
   -76     -0.6497261105     -0.6497261105     -0.6497261105     -0.6497261105     -0.6497261105      -1.452332098       -20.4507125     -0.5639358366       15.04169805
   -75     -0.6370654725     -0.6370654725     -0.6370654725     -0.6370654725     -0.6370654725      -1.806598766      -20.51660294      0.7797789253       14.48402411
   -74     -0.6254026431     -0.6254026431     -0.6254026431     -0.6254026431     -0.6254026431      -2.212120956      -20.48488164       2.061177372       13.94448553
   -73     -0.6149921134     -0.6149921134     -0.6149921134     -0.6149921134     -0.5288684533      -2.668136843      -20.37076265       3.285301694       13.42498203
   -72     -0.6052380234     -0.6052380234     -0.6052380234     -0.6052380234     -0.4357791055      -3.147444952      -20.17068129       4.447938316       12.92484301
   -71     -0.5970169532     -0.5970169532     -0.5970169532     -0.5970169532     -0.3463053262      -3.678523516      -19.89584642       5.541548521       12.46758145
   -70     -0.5916077976     -0.5916077976     -0.5916077976     -0.5916077976     -0.2603337958      -4.260290065      -19.58067729       6.587946733       12.05076758
   -69     -0.5868071839     -0.5868071839     -0.5868071839     -0.5868071839     -0.1877506561      -4.881392178      -19.18983917       7.571856209       11.65974131
   -68     -0.5844881073     -0.5844881073     -0.5844881073     -0.5844881073     -0.1168262088      -5.561717888       -18.7572076       8.509949869       11.30642872
   -67      -0.583803729      -0.583803729      -0.583803729      -0.583803729    -0.04658131038      -6.299395061      -18.26579049       9.391931701       10.98849935
   -66     -0.5853621734     -0.5853621734     -0.5853621734     -0.5853621734     0.02360253751      -7.082870103      -17.73183009       10.23451685       10.69475469
   -65     -0.5884299307     -0.5884299307     -0.5884299307     -0.5884299307     0.08257002816       -7.92680453      -17.13781786       11.02884599         10.416859
   -64     -0.5929904813     -0.5929904813     -0.5929904813     -0.5929904813      0.1187763355      -8.823405219      -16.47937642       11.76720563       10.16114369
   -63     -0.5983497166     -0.5983497166     -0.5983497166     -0.5983497166      0.1676554457      -9.781360727      -15.73932857       12.44093493       9.910403951
   -62     -0.6045605769     -0.6045605769     -0.6045605769     -0.6045605769      0.1814178814      -10.78392149      -14.92288744       13.05549617       9.649585466
   -61     -0.6106951057     -0.6106951057     -0.6106951057     -0.6106951057       0.183191204      -11.80662852      -14.01771273       13.58906169       9.387024914
