# WienerFilter Optimal Weights for luminosity <mu>=40 for E3 and E4 cells
# w0 w1 w2 w3 w4 w5 w6 bias
0.04382 -0.999 0.5212 1.179 -0.8052 0.4123 -0.1756 -5.393
0.1806 0.02539 -1.253 2.187 -1.254 0.6214 -0.2732 -14.53
-0.3267 0.6014 -1.346 2.224 -1.258 0.6043 -0.276 -14.41
-0.1914 0.4693 -1.246 2.169 -1.243 0.6191 -0.2633 -15.15
-0.1831 0.4734 -1.253 2.241 -1.424 0.9173 -0.5364 -15.43
-0.2245 0.5627 -1.398 2.433 -1.722 1.204 -0.5617 -15.26
-0.2367 0.617 -1.502 2.539 -1.729 0.7092 -0.1435 -14.15
