-100    0
-98     -0.376648
-96     -0.688451
-94     -0.940699
-92     -1.14929
-90     -1.04169
-88     -0.850866
-86     -0.466561
-84     0.0103264
-82     0.274588
-80     0.354237
-78     0.359666
-76     0.168171
-74     -0.379086
-72     -1.28507
-70     -2.21314
-68     -2.93947
-66     -3.51042
-64     -3.65376
-62     -3.12152
-60     -1.91369
-58     -0.201782
-56     0.72345
-54     4.10965
-52     7.19089
-50     10.1133
-48     14.1439
-46     19.6443
-44     24.4391
-42     30.8437
-40     37.1756
-38     43.2952
-36     48.903
-34     54.6276
-32     59.6593
-30     62.6287
-28     64.6099
-26     65.1639
-24     63.85
-22     60.7736
-20     55.9524
-18     49.9001
-16     42.473
-14     34.6157
-12     25.7907
-10     15.5207
-8      7.60957
-6      -1.00847
-4      -10.5854
-2      -18.468
0       -25.2176
2       -31.4248
4       -37.3466
6       -41.4275
8       -45.0907
10      -47.8468
12      -49.1634
14      -50.3411
16      -50.4471
18      -49.7303
20      -48.2605
22      -46.4016
24      -44.0636
26      -41.1154
28      -37.8552
30      -34.1941
32      -29.794
34      -25.9777
36      -21.946
38      -17.5713
40      -13.3559
42      -9.56317
44      -5.94549
46      -3.23166
48      -0.603581
50      1.46167
52      3.10685
54      4.23471
56      4.81912
58      4.505
60      4.53509
62      3.76215
64      3.03495
66      1.97612
68      0.895712
70      0.0842953
72      -1.38982
74      -2.00807
76      -2.79225
78      -3.32582
80      -4.09024
82      -4.95396
84      -5.3022
86      -5.52474
88      -5.70469
90      -6.24728
92      -5.95028
94      -6.11264
96      -6.04703
98      -5.97297
