EMBA 8 66 2 3 8R 2 
EMBA 8 66 2 3 8L 21 
EMBA 8 67 2 3 8R 3 
EMBA 8 67 2 3 8L 22 
EMBA 8 68 2 4 5R 4 
EMBA 8 68 2 4 5L 23 
EMBA 8 69 2 4 5R 5 
EMBA 8 69 2 4 5L 24 
EMBA 8 70 2 4 6R 4 
EMBA 8 70 2 4 6L 23 
EMBA 8 71 2 4 6R 5 
EMBA 8 71 2 4 6L 24 
EMBA 9 72 2 5 7R 4 
EMBA 9 72 2 5 7L 23 
EMBA 9 73 2 5 7R 5 
EMBA 9 73 2 5 7L 24 
EMBA 9 74 2 5 8R 4 
EMBA 9 74 2 5 8L 23 
EMBA 9 75 2 5 8R 5 
EMBA 9 75 2 5 8L 24 
EMBA 9 76 2 6 5R 6 
EMBA 9 76 2 6 5L 25 
EMBA 9 77 2 6 5R 7 
EMBA 9 77 2 6 5L 26 
EMBA 9 78 2 6 6R 6 
EMBA 9 78 2 6 6L 25 
EMBA 9 79 2 6 6R 7 
EMBA 9 79 2 6 6L 26 
EMBA 10 80 2 7 7R 6 
EMBA 10 80 2 7 7L 25 
EMBA 10 81 2 7 7R 7 
EMBA 10 81 2 7 7L 26 
EMBA 10 82 2 7 8R 6 
EMBA 10 82 2 7 8L 25 
EMBA 10 83 2 7 8R 7 
EMBA 10 83 2 7 8L 26 
EMBA 10 84 2 8 5R 8 
EMBA 10 84 2 8 5L 27 
EMBA 10 85 2 8 6R 8 
EMBA 10 85 2 8 6L 27 
EMBA 10 86 2 8 7R 8 
EMBA 10 86 2 8 7L 27 
EMBA 10 87 2 8 8R 8 
EMBA 10 87 2 8 8L 27 
EMBA 11 88 2 9 5R 11 
EMBA 11 88 2 9 5L 30 
EMBA 11 89 2 9 6R 11 
EMBA 11 89 2 9 6L 30 
EMBA 11 90 2 9 7R 11 
EMBA 11 90 2 9 7L 30 
EMBA 11 91 2 9 8R 11 
EMBA 11 91 2 9 8L 30 
EMBA 11 92 2 10 5R 12
EMBA 11 92 2 10 5L 31
EMBA 11 93 2 10 6R 12
EMBA 11 93 2 10 6L 31
EMBA 11 94 2 10 7R 12
EMBA 11 94 2 10 7L 31
EMBA 11 95 2 10 8R 12
EMBA 11 95 2 10 8L 31
EMBA 11 92 2 10 5R 12
EMBA 11 92 2 10 5L 31
EMBA 11 93 2 10 6R 12
EMBA 11 93 2 10 6L 31
EMBA 11 94 2 10 7R 12
EMBA 11 94 2 10 7L 31
EMBA 11 95 2 10 8R 12
EMBA 11 95 2 10 8L 31
EMBA 11 92 2 10 5R 12
EMBA 11 92 2 10 5L 31
EMBA 11 93 2 10 6R 12
EMBA 11 93 2 10 6L 31
EMBA 11 94 2 10 7R 12
EMBA 11 94 2 10 7L 31
EMBA 11 95 2 10 8R 12
EMBA 11 95 2 10 8L 31
EMBA 12 96 2 11 5R 13
EMBA 12 96 2 11 5L 32 
EMBA 12 97 2 11 6R 13 
EMBA 12 97 2 11 6L 32 
EMBA 12 98 2 11 7R 13 
EMBA 12 98 2 11 7L 32 
EMBA 12 99 2 11 8R 13 
EMBA 12 99 2 11 8L 32 
EMBA 12 100 2 12 5R 14 
EMBA 12 100 2 12 5L 33 
EMBA 12 101 2 12 6R 14 
EMBA 12 101 2 12 6L 33 
EMBA 12 102 2 12 7R 14 
EMBA 12 102 2 12 7L 33 
EMBA 12 103 2 12 8R 14 
EMBA 12 103 2 12 8L 33 
EMBA 13 104 2 13 5R 15 
EMBA 13 104 2 13 5L 34 
EMBA 13 105 2 13 6R 15 
EMBA 13 105 2 13 6L 34 
EMBA 13 106 2 13 7R 15 
EMBA 13 106 2 13 7L 34 
EMBA 13 107 2 13 8R 15 
EMBA 13 107 2 13 8L 34 
EMBA 13 108 2 14 5R 16 
EMBA 13 108 2 14 5L 35 
EMBA 13 109 2 14 6R 16 
EMBA 13 109 2 14 6L 35 
EMBA 13 110 2 14 7R 16 
EMBA 13 110 2 14 7L 35 
EMBA 13 111 2 14 8R 16 
EMBA 13 111 2 14 8L 35 
EMBA 14 112 3 1 9R 1 
EMBA 14 112 3 1 9L 20 
EMBA 14 113 3 1 10R 1 
EMBA 14 113 3 1 10L 20 
EMBA 14 114 3 1 11R 1 
EMBA 14 114 3 1 11L 20 
EMBA 14 115 3 1 12R 1 
EMBA 14 115 3 1 12L 20 
EMBA 14 116 3 2 9R 2 
EMBA 14 116 3 2 9L 21 
EMBA 14 117 3 2 9R 3 
EMBA 14 117 3 2 9L 22 
EMBA 14 118 3 2 10R 2 
EMBA 14 118 3 2 10L 21 
EMBA 14 119 3 2 10R 3 
EMBA 14 119 3 2 10L 22 
EMBA 15 120 3 3 11R 2 
EMBA 15 120 3 3 11L 21 
EMBA 15 121 3 3 11R 3 
EMBA 15 121 3 3 11L 22 
EMBA 15 122 3 3 12R 2 
EMBA 15 122 3 3 12L 21 
EMBA 15 123 3 3 12R 3 
EMBA 15 123 3 3 12L 22 
EMBA 15 124 3 4 9R 4 
EMBA 15 124 3 4 9L 23 
EMBA 15 125 3 4 9R 5 
