Var:eta[min]  Var:eta[max]  Var:absphi[min]  Var:absphi[max]  Name
-2.50         -2.25         0                3.1416           Region1
-2.25         -2.00         0                3.1416           Region2
-2.00         -1.75         0                3.1416           Region3
-1.75         -1.50         0                3.1416           Region4
-1.50         -1.25         0                3.1416           Region5
-1.25         -1.00         0                3.1416           Region6
-1.00         -0.75         0                3.1416           Region7
-0.75         -0.50         0                3.1416           Region8
-0.50         -0.25         0                3.1416           Region9
-0.25          0.00         0                3.1416           Region10 
 0.00          0.25         0                3.1416           Region11 
 0.25          0.50         0                3.1416           Region12 
 0.50          0.75         0                3.1416           Region13
 0.75          1.00         0                3.1416           Region14
 1.00          1.25         0                3.1416           Region15
 1.25          1.50         0                3.1416           Region16
 1.50          1.75         0                3.1416           Region17
 1.75          2.00         0                3.1416           Region18
 2.00          2.25         0                3.1416           Region19
 2.25          2.50         0                3.1416           Region20
