p1_ID  p2_ID      p2_ID_TAN2  p1_MS    p2_MS   E_p1_ID  E_p2_ID      E_p2_ID_TAN2  E_p1_MS   E_p2_MS  S_p1_ID  S_p2_ID  S_p2_ID_TAN2  S_p1_MS  S_p2_MS 
0      0          0.000035    0.01826  0          0     0            0.000005      0.00307   0        0        0        0             0        0      
0      0.000059   0           0.02775  0          0     0.000002     0             0.00333   0        0        0        0             0        0      
0      0.000102   0           0.04002  0          0     0.000007     0             0.00155   0        0        0        0             0        0      
0      0.000223   0           0.01065  0          0     0.000015     0             0.00090   0        0        0        0             0        0      
0      0.000375   0           0.03939  0          0     0.000016     0             0.00178   0        0        0        0             0        0      
0      0.000531   0           0.02721  0          0     0.000029     0             0.00148   0        0        0        0             0        0      
0      0          0.000033    0.01302  0          0     0            0.000002      0.00162   0        0        0        0             0        0      
