rho12      rho13        rho14        rho23      rho24      rho34
  0          0        0.000000         0          0          0    
  0          0        -0.704969        0          0          0    
  0          0        0.0000003        0          0          0    
  0          0        -0.351367        0          0          0    
  0          0        0.1082820        0          0          0    
  0          0        -0.0000005       0          0          0    
  0          0        -0.442716        0          0          0    
