p1_ID_MC    p2_ID_MC    p2_ID_TAN2_MC    p0_MS_MC    p1_MS_MC   p2_MS_MC   
0.0486      0	        0.0000537	 0	     0.0279     0.000225
0.0328      0.000454    0		 0	     0.0349     0.000206
0.0252      0.000324    0		 0	     0.0447     0.000311
0.0158      0.000300    0		 0.14	     0.0296     0.000197
0.0256      0.000317    0		 0	     0.0536     0.000324
0.0328      0.000452    0		 0	     0.0356     0.000187
0.0484      0	        0.0000524	 0.06	     0.0277     0.000230
