Scale_ID   Scale_ID_err   Scale_MS   Scale_MS_err   Scale_CB   Scale_CB_err
   -1           -1           -1           -1        0.9997 	   0.0002
   -1           -1           -1           -1        0.9999 	   0.0006
   -1           -1           -1           -1        0.9990 	   0.0012
   -1           -1           -1           -1        1.0013 	   0.0007

