p1_ID  p2_ID      p2_ID_TAN2  p1_MS    p2_MS     E_p1_ID  E_p2_ID      E_p2_ID_TAN2  E_p1_MS   E_p2_MS   S_p1_ID  S_p2_ID  S_p2_ID_TAN2  S_p1_MS  S_p2_MS 
0      0          0.000022    0.02604  0.000208  0        0            0.000005      0.00316   0.000061  0        0        0             0        0      
0      0.000044   0           0.04059  0.000194  0        0.000003     0             0.00197   0.000076  0        0        0             0        0      
0      0.000289   0           0.05835  0.000342  0        0.000064     0             0.00267   0.000080  0        0        0             0        0      
0      0.000174   0           0.02358  0.000135  0        0.000040     0             0.00117   0.000019  0        0        0             0        0      
0      0.000330   0           0.05633  0.000369  0        0.000063     0             0.00226   0.000093  0        0        0             0        0      
0      0.000599   0           0.03969  0.000137  0        0.000073     0             0.00119   0.000096  0        0        0             0        0      
0      0          0.000024    0.02072  0.000167  0        0            0.000002      0.00258   0.000064  0        0        0             0        0      
