eta_min   eta_max   phi_min   phi_max    name
-1.25    -1.05       2.225    2.487  	 TRAm105EL7
-1.25    -1.05       2.487    3.011  	 TRAm105ES8
-1.05    -0.8        2.960   -2.960	 BARm080BL9
-1.05    -0.8       -2.960   -2.535	 BARm080BS10
-1.05    -0.8       -2.535   -2.175	 BARm080BL11
-1.05    -0.8       -2.175   -1.750	 BARm080BS12
-1.05    -0.8       -1.750   -1.390	 BARm080BL13
-1.05    -0.8       -1.390   -0.965	 BARm080BS14
-1.05    -0.8       -0.965   -0.605	 BARm080BL15
-1.05    -0.8       -0.605   -0.180	 BARm080BS16
-1.05    -0.8       -0.180    0.180	 BARm080BL1
-1.05    -0.8        0.180    0.605	 BARm080BS2
-1.05    -0.8        0.605    0.965  	 BARm080BL3
-1.05    -0.8        0.965    1.390  	 BARm080BS4
-1.05    -0.8        1.390    1.750  	 BARm080BL5
-1.05    -0.8        1.750    2.175  	 BARm080BS6
-1.05    -0.8        2.175    2.535  	 BARm080BL7
-1.05    -0.8        2.535    2.960  	 BARm080BS8
-0.8     -0.4        2.960   -2.960	 BARm040BL9
-0.8     -0.4       -2.960   -2.535	 BARm040BS10
-0.8     -0.4       -2.535   -2.175	 BARm040BL11
-0.8     -0.4       -2.175   -1.750	 BARm040BS12
-0.8     -0.4       -1.750   -1.390	 BARm040BL13
-0.8     -0.4       -1.390   -0.965	 BARm040BS14
-0.8     -0.4       -0.965   -0.605	 BARm040BL15
-0.8     -0.4       -0.605   -0.180	 BARm040BS16
-0.8     -0.4       -0.180    0.180	 BARm040BL1
-0.8     -0.4        0.180    0.605	 BARm040BS2
-0.8     -0.4        0.605    0.965  	 BARm040BL3
-0.8     -0.4        0.965    1.390  	 BARm040BS4
-0.8     -0.4        1.390    1.750  	 BARm040BL5
-0.8     -0.4        1.750    2.175  	 BARm040BS6
-0.8     -0.4        2.175    2.535  	 BARm040BL7
-0.8     -0.4        2.535    2.960  	 BARm040BS8
-0.4      0.0        2.960   -2.960	 BARm000BL9
-0.4      0.0       -2.960   -2.535	 BARm000BS10
-0.4      0.0       -2.535   -2.175	 BARm000BL11
-0.4      0.0       -2.175   -1.750	 BARm000BS12
