-2.7	-2.25	1.27395	0.0288189	1.0039	    0.000749621	1.33256	    0.0708613	0.998363	0.000769397	1.26787	0.0628	    1.00322	    0.000100164
-2.25	-2	    1.23226	0.00996006	1.00256	    0.00256328	1.05987	    0.00821003	0.999842	0.000737948	1.27957	0.0432877	1.002	    0.000525484
-2	    -1.7	1.25152	0.01645	    1.00126	    8.0051e-05	1.0709	    0.0155203	1.00102	    0.00113264	1.14503	0.0361223	1.0009	    0.000455485
-1.7	-1.5	1.16664	0.03234	    1.00116	    0.000552278	1.05336	    0.00553001	1.00108	    0.000140076	1.255	0.06246	    0.997619	0.00291852
-1.5	-1.05	1.25605	0.0209	    0.998934	0.000101946	1.08338	    0.00545001	1.00028	    0.000160023	1.45183	0.05625	    0.993664	0.000251202
-1.05	-0.8	1.34864	0.05178	    0.997837	0.0010169	1.08932	    0.032	    1.00046	    0.000460107	1.3368	0.056666	0.995032	0.000937686
-0.8	-0.4	1.28612	0.0117704	0.998381	0.0001239	1.11551	    0.00425004	0.999898	3.99984e-05	1.32728	0.0244302	0.99493	    0.000375047
-0.4	0	    1.25975	0.00461105	0.998802	2.59947e-05	1.12023	    0.00558518	0.99997	    0.000401617	1.25404	0.0355195	0.995242	0.000196412
0	    0.4	    1.23083	0.00329007	0.998826	9.39455e-05	1.08759	    0.11815	    1.00002	    0.000220002	1.16757	0.07431	    0.99592	    0.000163672
0.4	    0.8	    1.25306	0.0324	    0.998531	0.000119912	1.13761	    0.00283004	1.001	    0.000900459	1.29753	0.05226	    0.994851	0.000714154
0.8	    1.05	1.32227	0.0422501	0.998389	9.59345e-05	1.06541	    0.02706	    1.00002	    0.000200003	1.40164	0.039138	0.996132	0.000884176
1.05	1.5	    1.24271	0.0158912	0.999468	0.000298809	1.08023	    0.0537466	1.00028	    0.000348914	1.46656	0.0458501	0.992689	0.000502156
1.5	    1.7	    1.17546	0.01039	    1.0006	    0.000420129	1.06751	    0.03006	    0.999712	0.000487935	1.30063	0.0676	    0.998287	0.000417642
1.7	    2	    1.19768	0.0172265	1.00082	    0.000349997	1.06973	    0.01582	    0.999784	0.00121587	1.19331	0.01375	    0.999916	0.00140394
2	    2.25	1.22359	0.02913	    1.00214	    0.000120153	0.966761	0.032865	1.00086	    0.000680292	1.28957	0.05103	    1.0015	    0.000594435
2.25	2.7	    1.29865	0.0425978	1.00326	    0.000642193	1.33565	    0.01966	    0.99741	    0.00534507	1.33985	0.0227568	1.00294	    0.000200361
