p1_ID_MC    p2_ID_MC    p2_ID_TAN2_MC    p0_MS_MC    p1_MS_MC    p2_MS_MC         
0.04561     0 	        0.0000514	 0.10	     0.02943     0.000077
0.03322     0.000480	0		 0	     0.03337     0.000089
0.02624     0.000322	0		 0	     0.04640     0.000175
0.01620     0.000300	0             	 0.12 	     0.02905     0.000103
0.02578	    0.000321	0		 0	     0.04633     0.000175
0.03402     0.000440	0		 0	     0.03346     0.000084
0.04726     0		0.0000498	 0.11	     0.02957     0.000079
