eta_min   eta_max   phi_min   phi_max	 name	
-2.7	  -2.0      -3.142     3.142 	 CSCm
-2.0      -1.7      -3.142     3.142 	 ENDm
-1.7	  -1.05     -3.142     3.142 	 TRAm
-1.05	   1.05     -3.142     3.142	 BAR
1.05	   1.7      -3.142     3.142	 TRAp
1.7        2.0      -3.142     3.142	 ENDp
2.0 	   2.7      -3.142     3.142	 CSCp
