# SignalUncertainties for long-lived RPC-RPV signal grid MGPy8EG_A14NNPDF23LO_GG_rpv
# based on gluino pair production with decays into light flavors(LF) and heavy flavors(HF)
# No event generator filters applied
# No additional BRs of gluino or neutralino included here
SAMPLE     FS   CROSSECTION[pb]    BR-FACTOR     FILTEREFF   REL.UNCERT     #COMMENT
375344      2      0.0046974684   1.00000000   1.00000000    0.26256696     #GG_qqn1_1700_200_rpvLF_p1ns 		
375345      2      0.0046974684   1.00000000   1.00000000    0.26256696     #GG_qqn1_1700_200_rpvLF_1ns 
375346      2      0.0046974684   1.00000000   1.00000000    0.26256696     #GG_qqn1_1700_200_rpvLF_10ns 
375347      2      0.0046974684   1.00000000   1.00000000    0.26256696     #GG_qqn1_1700_200_rpvLF_100ns
375348      2      0.0027583649   1.00000000   1.00000000    0.28245753     #GG_qqn1_1800_200_rpvLF_p01ns
375349      2      0.0027583649   1.00000000   1.00000000    0.28245753     #GG_qqn1_1800_200_rpvLF_p1ns 
375350      2      0.0027583649   1.00000000   1.00000000    0.28245753     #GG_qqn1_1800_200_rpvLF_1ns 
375351      2      0.0027583649   1.00000000   1.00000000    0.28245753     #GG_qqn1_1800_200_rpvLF_10ns 
375352      2      0.0027583649   1.00000000   1.00000000    0.28245753     #GG_qqn1_1800_200_rpvLF_100ns 
375353      2      0.0016337908   1.00000000   1.00000000    0.30037747     #GG_qqn1_1900_200_rpvLF_p01ns 
375354      2      0.0016337908   1.00000000   1.00000000    0.30037747     #GG_qqn1_1900_200_rpvLF_p1ns 
375355      2      0.0016337908   1.00000000   1.00000000    0.30037747     #GG_qqn1_1900_200_rpvLF_1ns 
375356      2      0.0016337908   1.00000000   1.00000000    0.30037747     #GG_qqn1_1900_200_rpvLF_10ns 
375357      2      0.0016337908   1.00000000   1.00000000    0.30037747     #GG_qqn1_1900_200_rpvLF_100ns 
375358      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_200_rpvLF_p01ns 
375359      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_200_rpvLF_p1ns 
375360      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_200_rpvLF_1ns 
375361      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_200_rpvLF_10ns 
375362      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_qqn1_2000_200_rpvLF_100ns 
375363      2      0.0003590692   1.00000000   1.00000000    0.36056504     #GG_qqn1_2200_200_rpvLF_p01ns 
375364      2      0.0003590692   1.00000000   1.00000000    0.36056504     #GG_qqn1_2200_200_rpvLF_p1ns 
375365      2      0.0003590692   1.00000000   1.00000000    0.36056504     #GG_qqn1_2200_200_rpvLF_1ns 
375366      2      0.0003590692   1.00000000   1.00000000    0.36056504     #GG_qqn1_2200_200_rpvLF_10ns 
375367      2      0.0003590692   1.00000000   1.00000000    0.36056504     #GG_qqn1_2200_200_rpvLF_100ns 
375368      2      0.1634905706   1.00000000   1.00000000    0.17640239     #GG_ttn1_1100_200_rpvHF_p01ns 
375369      2      0.1634905706   1.00000000   1.00000000    0.17640239     #GG_ttn1_1100_200_rpvHF_p1ns 
375370      2      0.1634905706   1.00000000   1.00000000    0.17640239     #GG_ttn1_1100_200_rpvHF_1ns 
375371      2      0.1634905706   1.00000000   1.00000000    0.17640239     #GG_ttn1_1100_200_rpvHF_10ns 
375372      2      0.1634905706   1.00000000   1.00000000    0.17640239     #GG_ttn1_1100_200_rpvHF_100ns 
375373      2      0.0856417975   1.00000000   1.00000000    0.18481426     #GG_ttn1_1200_200_rpvHF_p01ns 
375374      2      0.0856417975   1.00000000   1.00000000    0.18481426     #GG_ttn1_1200_200_rpvHF_p1ns 
375375      2      0.0856417975   1.00000000   1.00000000    0.18481426     #GG_ttn1_1200_200_rpvHF_1ns 
375376      2      0.0856417975   1.00000000   1.00000000    0.18481426     #GG_ttn1_1200_200_rpvHF_10ns 
375377      2      0.0856417975   1.00000000   1.00000000    0.18481426     #GG_ttn1_1200_200_rpvHF_100ns 
375378      2      0.0459823026   1.00000000   1.00000000    0.19822566     #GG_ttn1_1300_200_rpvHF_p01ns 
375379      2      0.0459823026   1.00000000   1.00000000    0.19822566     #GG_ttn1_1300_200_rpvHF_p1ns 
375380      2      0.0459823026   1.00000000   1.00000000    0.19822566     #GG_ttn1_1300_200_rpvHF_1ns 
375381      2      0.0459823026   1.00000000   1.00000000    0.19822566     #GG_ttn1_1300_200_rpvHF_10ns 
375382      2      0.0459823026   1.00000000   1.00000000    0.19822566     #GG_ttn1_1300_200_rpvHF_100ns 
375383      2      0.0252601268   1.00000000   1.00000000    0.21096327     #GG_ttn1_1400_200_rpvHF_p01ns 
375384      2      0.0252601268   1.00000000   1.00000000    0.21096327     #GG_ttn1_1400_200_rpvHF_p1ns 
375385      2      0.0252601268   1.00000000   1.00000000    0.21096327     #GG_ttn1_1400_200_rpvHF_1ns 
375386      2      0.0252601268   1.00000000   1.00000000    0.21096327     #GG_ttn1_1400_200_rpvHF_10ns 
375387      2      0.0252601268   1.00000000   1.00000000    0.21096327     #GG_ttn1_1400_200_rpvHF_100ns 
375388      2      0.0141714505   1.00000000   1.00000000    0.22892537     #GG_ttn1_1500_200_rpvHF_p01ns 
375389      2      0.0141714505   1.00000000   1.00000000    0.22892537     #GG_ttn1_1500_200_rpvHF_p1ns 
375390      2      0.0141714505   1.00000000   1.00000000    0.22892537     #GG_ttn1_1500_200_rpvHF_1ns 
375391      2      0.0141714505   1.00000000   1.00000000    0.22892537     #GG_ttn1_1500_200_rpvHF_10ns 
375392      2      0.0141714505   1.00000000   1.00000000    0.22892537     #GG_ttn1_1500_200_rpvHF_100ns 
375393      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_ttn1_1600_200_rpvHF_p01ns 
375394      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_ttn1_1600_200_rpvHF_p1ns 
375395      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_ttn1_1600_200_rpvHF_1ns 
375396      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_ttn1_1600_200_rpvHF_10ns 
375397      2      0.0080897601   1.00000000   1.00000000    0.24437219     #GG_ttn1_1600_200_rpvHF_100ns 
375398      2      0.0046974684   1.00000000   1.00000000    0.26256696     #GG_ttn1_1700_200_rpvHF_p01ns 
375399      2      0.0046974684   1.00000000   1.00000000    0.26256696     #GG_ttn1_1700_200_rpvHF_p1ns 
375400      2      0.0046974684   1.00000000   1.00000000    0.26256696     #GG_ttn1_1700_200_rpvHF_1ns 
375401      2      0.0046974684   1.00000000   1.00000000    0.26256696     #GG_ttn1_1700_200_rpvHF_10ns 
375402      2      0.0046974684   1.00000000   1.00000000    0.26256696     #GG_ttn1_1700_200_rpvHF_100ns
375403      2      0.0027583649   1.00000000   1.00000000    0.28245753     #GG_ttn1_1800_200_rpvHF_p01ns 
375404      2      0.0027583649   1.00000000   1.00000000    0.28245753     #GG_ttn1_1800_200_rpvHF_p1ns 
375405      2      0.0027583649   1.00000000   1.00000000    0.28245753     #GG_ttn1_1800_200_rpvHF_1ns 
375406      2      0.0027583649   1.00000000   1.00000000    0.28245753     #GG_ttn1_1800_200_rpvHF_10ns 
375407      2      0.0027583649   1.00000000   1.00000000    0.28245753     #GG_ttn1_1800_200_rpvHF_100ns 
375408      2      0.0016337908   1.00000000   1.00000000    0.30037747     #GG_ttn1_1900_200_rpvHF_p01ns 
375409      2      0.0016337908   1.00000000   1.00000000    0.30037747     #GG_ttn1_1900_200_rpvHF_p1ns 
375410      2      0.0016337908   1.00000000   1.00000000    0.30037747     #GG_ttn1_1900_200_rpvHF_1ns 
375411      2      0.0016337908   1.00000000   1.00000000    0.30037747     #GG_ttn1_1900_200_rpvHF_10ns 
375412      2      0.0016337908   1.00000000   1.00000000    0.30037747     #GG_ttn1_1900_200_rpvHF_100ns 
375413      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_ttn1_2000_200_rpvHF_p01ns 
375414      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_ttn1_2000_200_rpvHF_p1ns 
375415      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_ttn1_2000_200_rpvHF_1ns 
375416      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_ttn1_2000_200_rpvHF_10ns 
375417      2      0.0009802603   1.00000000   1.00000000    0.31952110     #GG_ttn1_2000_200_rpvHF_100ns 
375418      2      0.0003590692   1.00000000   1.00000000    0.36056504     #GG_ttn1_2200_200_rpvHF_p01ns 
375419      2      0.0003590692   1.00000000   1.00000000    0.36056504     #GG_ttn1_2200_200_rpvHF_p1ns 
375420      2      0.0003590692   1.00000000   1.00000000    0.36056504     #GG_ttn1_2200_200_rpvHF_1ns 
375421      2      0.0003590692   1.00000000   1.00000000    0.36056504     #GG_ttn1_2200_200_rpvHF_10ns 
375422      2      0.0003590692   1.00000000   1.00000000    0.36056504     #GG_ttn1_2200_200_rpvHF_100ns 
375423      2      0.0001338845   1.00000000   1.00000000    0.40878758     #GG_ttn1_2400_200_rpvHF_p01ns
375424      2      0.0001338845   1.00000000   1.00000000    0.40878758     #GG_ttn1_2400_200_rpvHF_p1ns 
375425      2      0.0001338845   1.00000000   1.00000000    0.40878758     #GG_ttn1_2400_200_rpvHF_1ns 
375426      2      0.0001338845   1.00000000   1.00000000    0.40878758     #GG_ttn1_2400_200_rpvHF_10ns 
375427      2      0.0001338845   1.00000000   1.00000000    0.40878758     #GG_ttn1_2400_200_rpvHF_100ns 
