# DID     FS     CROSSECTION[pb]   K-FACTOR      FILTEREFF    REL.UNCERT
374355     2      0.0004585995      1.00000000    1.00000000   0.35099158
374356     2      0.0004585995      1.00000000    1.00000000   0.35099158
374357     2      0.0004585995      1.00000000    1.00000000   0.35099158
374358     2      0.0004585995      1.00000000    1.00000000   0.35099158
374359     2      0.0004585995      1.00000000    1.00000000   0.35099158
374360     2      0.0002973435      1.00000000    1.00000000   0.37096787
374361     2      0.0002973435      1.00000000    1.00000000   0.37096787
374362     2      0.0002973435      1.00000000    1.00000000   0.37096787
374363     2      0.0002973435      1.00000000    1.00000000   0.37096787
374364     2      0.0002973435      1.00000000    1.00000000   0.37096787
374365     2      0.0002973435      1.00000000    1.00000000   0.37096787
374366     2      0.0002973435      1.00000000    1.00000000   0.37096787
374367     2      0.0002973435      1.00000000    1.00000000   0.37096787
374368     2      0.0002973435      1.00000000    1.00000000   0.37096787
374369     2      0.0002973435      1.00000000    1.00000000   0.37096787
374370     2      0.0002973435      1.00000000    1.00000000   0.37096787
374371     2      0.0002973435      1.00000000    1.00000000   0.37096787
374372     2      0.0002973435      1.00000000    1.00000000   0.37096787
374373     2      0.0001935928      1.00000000    1.00000000   0.39349156
374374     2      0.0001935928      1.00000000    1.00000000   0.39349156
374375     2      0.0001935928      1.00000000    1.00000000   0.39349156
374376     2      0.0001935928      1.00000000    1.00000000   0.39349156
374377     2      0.0001935928      1.00000000    1.00000000   0.39349156
374378     2      0.0001935928      1.00000000    1.00000000   0.39349156
374379     2      0.0001935928      1.00000000    1.00000000   0.39349156
374380     2      0.0001935928      1.00000000    1.00000000   0.39349156
374381     2      0.0001935928      1.00000000    1.00000000   0.39349156
374382     2      0.0001935928      1.00000000    1.00000000   0.39349156
374383     2      0.0001935928      1.00000000    1.00000000   0.39349156
374384     2      0.0001935928      1.00000000    1.00000000   0.39349156
374385     2      0.0001935928      1.00000000    1.00000000   0.39349156
374386     2      0.0001935928      1.00000000    1.00000000   0.39349156
374387     2      0.0001260009      1.00000000    1.00000000   0.41046334
