# Roi/ROB map file for the RPC system

maxSubsystem:   2
maxLogicSector: 32
maxRoI:         28

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    5   |  23 |    1   |  89
      0    |    5   |  24 |    1   |  89

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    6   |   1 |    1   |  57
      0    |    6   |   2 |    1   |  57
      0    |    6   |   3 |    1   |  57
      0    |    6   |   4 |    1   |  57
      0    |    6   |   5 |    1   |  57
      0    |    6   |   6 |    1   |  57
      0    |    6   |   7 |    2   |  57  73
      0    |    6   |   8 |    2   |  57  73
      0    |    6   |   9 |    2   |  57  73
      0    |    6   |  10 |    2   |  57  73
      0    |    6   |  11 |    1   |  73
      0    |    6   |  12 |    1   |  73
      0    |    6   |  13 |    1   |  73
      0    |    6   |  14 |    1   |  73
      0    |    6   |  15 |    2   |  73  89
      0    |    6   |  16 |    2   |  73  89
      0    |    6   |  17 |    2   |  73  89
      0    |    6   |  18 |    2   |  73  89
      0    |    6   |  21 |    1   |  89
      0    |    6   |  22 |    1   |  89
      0    |    6   |  23 |    1   |  89
      0    |    6   |  24 |    1   |  89

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    7   |   1 |    1   |  50
      0    |    7   |   2 |    1   |  50
      0    |    7   |   3 |    1   |  50
      0    |    7   |   4 |    1   |  50
      0    |    7   |   5 |    1   |  50
      0    |    7   |   6 |    1   |  50
      0    |    7   |   7 |    2   |  50  66
      0    |    7   |   8 |    2   |  50  66
      0    |    7   |   9 |    2   |  50  66
      0    |    7   |  10 |    2   |  50  66
      0    |    7   |  11 |    1   |  66
      0    |    7   |  12 |    1   |  66
      0    |    7   |  13 |    1   |  66
      0    |    7   |  14 |    1   |  66
      0    |    7   |  15 |    2   |  66  82
      0    |    7   |  16 |    2   |  66  82
      0    |    7   |  17 |    2   |  66  82
      0    |    7   |  18 |    2   |  66  82
      0    |    7   |  19 |    2   |  66  82
      0    |    7   |  20 |    2   |  66  82
      0    |    7   |  21 |    1   |  82
      0    |    7   |  22 |    1   |  82
      0    |    7   |  23 |    2   |  82 146
      0    |    7   |  24 |    2   |  82 146
      0    |    7   |  25 |    2   |  82 146
      0    |    7   |  26 |    2   |  82 146

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    8   |   1 |    1   |  50
      0    |    8   |   2 |    1   |  50
      0    |    8   |   3 |    1   |  50
      0    |    8   |   4 |    1   |  50
      0    |    8   |   5 |    1   |  50
      0    |    8   |   6 |    1   |  50
      0    |    8   |   7 |    2   |  50  66
      0    |    8   |   8 |    2   |  50  66
      0    |    8   |   9 |    2   |  50  66
      0    |    8   |  10 |    2   |  50  66
      0    |    8   |  11 |    1   |  66
      0    |    8   |  12 |    1   |  66
      0    |    8   |  13 |    1   |  66
      0    |    8   |  14 |    1   |  66
      0    |    8   |  15 |    2   |  66  82
      0    |    8   |  16 |    2   |  66  82
      0    |    8   |  17 |    2   |  66  82
      0    |    8   |  18 |    2   |  66  82
      0    |    8   |  19 |    2   |  66  82
      0    |    8   |  20 |    2   |  66  82
      0    |    8   |  21 |    1   |  82
      0    |    8   |  22 |    1   |  82
      0    |    8   |  23 |    2   |  82 146
      0    |    8   |  24 |    2   |  82 146
      0    |    8   |  25 |    2   |  82 146
      0    |    8   |  26 |    2   |  82 146

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    9   |   1 |    1   |  58
      0    |    9   |   2 |    1   |  58
      0    |    9   |   3 |    1   |  58
      0    |    9   |   4 |    1   |  58
      0    |    9   |   5 |    1   |  58
      0    |    9   |   6 |    1   |  58
      0    |    9   |   7 |    2   |  58  74
      0    |    9   |   8 |    2   |  58  74
      0    |    9   |   9 |    2   |  58  74
      0    |    9   |  10 |    2   |  58  74
      0    |    9   |  11 |    1   |  74
      0    |    9   |  12 |    1   |  74
      0    |    9   |  13 |    1   |  74
      0    |    9   |  14 |    1   |  74
      0    |    9   |  15 |    2   |  74  90
      0    |    9   |  16 |    2   |  74  90
      0    |    9   |  17 |    2   |  74  90
      0    |    9   |  18 |    2   |  74  90
      0    |    9   |  21 |    1   |  90
      0    |    9   |  22 |    1   |  90
      0    |    9   |  23 |    1   |  90
      0    |    9   |  24 |    1   |  90

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   10   |   1 |    1   |  58
      0    |   10   |   2 |    1   |  58
      0    |   10   |   3 |    1   |  58
      0    |   10   |   4 |    1   |  58
      0    |   10   |   5 |    1   |  58
      0    |   10   |   6 |    1   |  58
      0    |   10   |   7 |    2   |  58  74
      0    |   10   |   8 |    2   |  58  74
      0    |   10   |   9 |    2   |  58  74
      0    |   10   |  10 |    2   |  58  74
      0    |   10   |  11 |    1   |  74
      0    |   10   |  12 |    1   |  74
      0    |   10   |  13 |    1   |  74
      0    |   10   |  14 |    1   |  74
      0    |   10   |  15 |    2   |  74  90
      0    |   10   |  16 |    2   |  74  90
      0    |   10   |  17 |    2   |  74  90
      0    |   10   |  18 |    2   |  74  90
      0    |   10   |  21 |    1   |  90
      0    |   10   |  22 |    1   |  90
      0    |   10   |  23 |    1   |  90
      0    |   10   |  24 |    1   |  90

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   11   |   1 |    1   |  51
      0    |   11   |   2 |    1   |  51
      0    |   11   |   5 |    1   |  51
      0    |   11   |   6 |    1   |  51
      0    |   11   |   7 |    2   |  51  67
      0    |   11   |   8 |    2   |  51  67
      0    |   11   |   9 |    2   |  51  67
      0    |   11   |  10 |    2   |  51  67
      0    |   11   |  11 |    1   |  67
      0    |   11   |  12 |    1   |  67
      0    |   11   |  13 |    1   |  67
      0    |   11   |  14 |    1   |  67
      0    |   11   |  15 |    2   |  67  83
      0    |   11   |  16 |    2   |  67  83
      0    |   11   |  17 |    2   |  67  83
      0    |   11   |  18 |    2   |  67  83
      0    |   11   |  19 |    2   |  67  83
      0    |   11   |  20 |    2   |  67  83
      0    |   11   |  21 |    1   |  83
      0    |   11   |  22 |    1   |  83
      0    |   11   |  23 |    2   |  83 147
      0    |   11   |  24 |    2   |  83 147
      0    |   11   |  25 |    2   |  83 147
      0    |   11   |  26 |    2   |  83 147

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   12   |   1 |    1   |  51
      0    |   12   |   2 |    1   |  51
      0    |   12   |   5 |    1   |  51
      0    |   12   |   6 |    1   |  51
      0    |   12   |   7 |    2   |  51  67
      0    |   12   |   8 |    2   |  51  67
      0    |   12   |   9 |    2   |  51  67
      0    |   12   |  10 |    2   |  51  67
      0    |   12   |  11 |    1   |  67
      0    |   12   |  12 |    1   |  67
      0    |   12   |  13 |    1   |  67
      0    |   12   |  14 |    1   |  67
      0    |   12   |  15 |    2   |  67  83
      0    |   12   |  16 |    2   |  67  83
      0    |   12   |  17 |    2   |  67  83
      0    |   12   |  18 |    2   |  67  83
      0    |   12   |  19 |    2   |  67  83
      0    |   12   |  20 |    2   |  67  83
      0    |   12   |  21 |    1   |  83
      0    |   12   |  22 |    1   |  83
      0    |   12   |  23 |    2   |  83 147
      0    |   12   |  24 |    2   |  83 147
      0    |   12   |  25 |    2   |  83 147
      0    |   12   |  26 |    2   |  83 147

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   13   |   1 |    1   |  59
      0    |   13   |   2 |    1   |  59
      0    |   13   |   3 |    1   |  59
      0    |   13   |   4 |    1   |  59
      0    |   13   |   5 |    1   |  59
      0    |   13   |   6 |    1   |  59
      0    |   13   |   7 |    2   |  59  75
      0    |   13   |   8 |    2   |  59  75
      0    |   13   |   9 |    2   |  59  75
      0    |   13   |  10 |    2   |  59  75
      0    |   13   |  11 |    1   |  75
      0    |   13   |  12 |    1   |  75
      0    |   13   |  13 |    1   |  75
      0    |   13   |  14 |    1   |  75
      0    |   13   |  15 |    2   |  75  91
      0    |   13   |  16 |    2   |  75  91
      0    |   13   |  17 |    2   |  75  91
      0    |   13   |  18 |    2   |  75  91
      0    |   13   |  21 |    1   |  91
      0    |   13   |  22 |    1   |  91
      0    |   13   |  23 |    1   |  91
      0    |   13   |  24 |    1   |  91

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |   14   |   1 |    1   |  59
      0    |   14   |   2 |    1   |  59
      0    |   14   |   3 |    1   |  59
