# Roi/ROB map file for the RPC system

type: ATLAS
maxSubsystem:   2
maxLogicSector: 32
maxRoI:         28

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    5   |   5 |    1   | 620009
      0    |    5   |   6 |    2   | 620009 620019
      0    |    5   |   7 |    2   | 620009 620019
      0    |    5   |   8 |    2   | 620009 620019
      0    |    5   |   9 |    2   | 620009 620019
      0    |    5   |  10 |    1   | 620019
      0    |    5   |  11 |    1   | 620019
      0    |    5   |  12 |    1   | 620019
      0    |    5   |  13 |    1   | 620019
      0    |    5   |  14 |    2   | 620019 620029
      0    |    5   |  15 |    2   | 620019 620029
      0    |    5   |  16 |    2   | 620019 620029
      0    |    5   |  17 |    2   | 620019 620029
      0    |    5   |  18 |    2   | 620029 640009
      0    |    5   |  19 |    2   | 620029 640009
      0    |    5   |  20 |    1   | 620029
      0    |    5   |  21 |    1   | 620029
      0    |    5   |  22 |    1   | 620029
      0    |    5   |  23 |    1   | 620029

#----------+--------+-----+--------+----------
#Subsystem | Sector | RoI | ROBnum | ROBids
#----------+--------+-----+--------+----------
      0    |    6   |   0 |    1   | 620009
      0    |    6   |   1 |    1   | 620009
      0    |    6   |   2 |    1   | 620009
      0    |    6   |   3 |    1   | 620009
      0    |    6   |   4 |    1   | 620009
      0    |    6   |   5 |    1   | 620009
      0    |    6   |   6 |    2   | 620009 620019
      0    |    6   |   7 |    2   | 620009 620019
      0    |    6   |   8 |    2   | 620009 620019
      0    |    6   |   9 |    2   | 620009 620019
      0    |    6   |  10 |    1   | 620019
      0    |    6   |  11 |    1   | 620019
      0    |    6   |  12 |    1   | 620019
      0    |    6   |  13 |    1   | 620019
      0    |    6   |  14 |    2   | 620019 620029
      0    |    6   |  15 |    2   | 620019 620029
      0    |    6   |  16 |    2   | 620019 620029
      0    |    6   |  17 |    2   | 620019 620029
      0    |    6   |  18 |    2   | 620029 640009
      0    |    6   |  19 |    2   | 620029 640009
      0    |    6   |  20 |    1   | 620029
