Calo      Layer     Region     Eta  DATA
    2        1        4       53  0.02552
    2        1        4       54  0.02552
    2        1        4       55  0.02552
    2        1        4       56  0.02552
    2        1        4       57  0.02552
    2        1        4       58  0.02552
    2        1        4       59  0.02552
    2        1        4       60  0.02552
    2        1        4       61  0.02552
    2        1        4       62  0.02552
    2        1        4       63  0.02552
    2        1        5        0  0.02552
    2        1        5        1  0.02552
    2        1        5        2  0.02552
    2        1        5        3  0.02552
    2        2        0        0  0.07664
    2        2        1        0  0.07664
    2        2        1        1  0.07664
    2        2        1        2  0.07664
    2        2        1        3  0.15317
    2        2        1        4  0.15317
    2        2        1        5  0.15317
    2        2        1        6  0.15317
    2        2        1        7  0.15317
    2        2        1        8  0.15317
    2        2        1        9  0.15317
    2        2        1       10  0.15317
    2        2        1       11  0.15317
    2        2        1       12  0.15317
    2        2        1       13  0.15317
    2        2        1       14  0.15317
    2        2        1       15  0.15317
    2        2        1       16  0.15317
    2        2        1       17  0.15317
    2        2        1       18  0.15317
    2        2        1       19  0.15317
    2        2        1       20  0.15317
    2        2        1       21  0.15317
    2        2        1       22  0.15317
    2        2        1       23  0.15317
    2        2        1       24  0.15317
    2        2        1       25  0.15317
    2        2        1       26  0.15317
    2        2        1       27  0.15317
    2        2        1       28  0.15317
    2        2        1       29  0.15317
    2        2        1       30  0.15317
    2        2        1       31  0.15317
    2        2        1       32  0.15317
    2        2        1       33  0.15317
    2        2        1       34  0.15317
    2        2        1       35  0.15317
    2        2        1       36  0.15317
    2        2        1       37  0.15317
    2        2        1       38  0.15317
    2        2        1       39  0.15317
    2        2        1       40  0.15317
    2        2        1       41  0.15317
    2        2        1       42  0.15317
    2        3        0        0  0.07664
    2        3        0        1  0.07664
    2        3        0        2  0.07664
    2        3        0        3  0.07664
    2        3        0        4  0.07664
    2        3        0        5  0.07664
    2        3        0        6  0.07664
    2        3        0        7  0.07664
    2        3        0        8  0.07664
    2        3        0        9  0.07664
    2        3        0       10  0.07664
    2        3        0       11  0.07664
    2        3        0       12  0.07664
    2        3        0       13  0.07664
    2        3        0       14  0.07664
    2        3        0       15  0.07664
    2        3        0       16  0.07664
    2        3        0       17  0.07664
    2        3        0       18  0.07664
    2        3        0       19  0.07664
    1        0        0        0  0.00241
    1        0        0        1  0.00241
    1        0        0        2  0.00241
    1        0        0        3  0.00241
    1        0        0        4  0.00236
    1        0        0        5  0.00236
    1        0        0        6  0.00236
    1        0        0        7  0.00236
    1        0        0        8  0.00236
    1        0        0        9  0.00236
    1        0        0       10  0.00236
    1        0        0       11  0.00236
    1        0        0       12  0.00236
    1        0        0       13  0.00236
    1        0        0       14  0.00236
    1        0        0       15  0.00236
    1        0        0       16  0.00236
    1        0        0       17  0.00236
    1        0        0       18  0.00236
    1        0        0       19  0.00236
    1        0        0       20  0.00236
    1        0        0       21  0.00236
    1        0        0       22  0.00236
    1        0        0       23  0.00236
    1        0        0       24  0.00236
    1        0        0       25  0.00236
    1        0        0       26  0.00236
    1        0        0       27  0.00236
    1        0        0       28  0.00235
    1        0        0       29  0.00235
    1        0        0       30  0.00235
    1        0        0       31  0.00235
    1        0        0       32  0.00235
    1        0        0       33  0.00235
    1        0        0       34  0.00235
    1        0        0       35  0.00235
    1        0        0       36  0.00235
    1        0        0       37  0.00235
    1        0        0       38  0.00235
    1        0        0       39  0.00235
    1        0        0       40  0.00235
    1        0        0       41  0.00235
    1        0        0       42  0.00235
    1        0        0       43  0.00235
    1        0        0       44  0.00235
    1        0        0       45  0.00235
    1        0        0       46  0.00235
    1        0        0       47  0.00235
    1        0        0       48  0.00235
    1        0        0       49  0.00235
    1        0        0       50  0.00235
    1        0        0       51  0.00235
    1        0        0       52  0.00235
    1        0        0       53  0.00235
    1        0        0       54  0.00235
