   icalo   isamp   ireg     ieta      ua/DAC   MeV/uA    Atten    uA/DAC     MeV/uA (last two with attenuation corrections)
       2       1       2      67    0.025525   420.14    1.0000  0.025525    420.14
       2       1       2      68    0.025525   419.43    1.0000  0.025525    419.43
       2       1       2      69    0.025525   418.73    1.0000  0.025525    418.73
       2       1       2      70    0.025525   418.03    1.0000  0.025525    418.03
       2       1       2      71    0.025525   417.33    1.0000  0.025525    417.33
       2       1       2      72    0.025525   416.64    1.0000  0.025525    416.64
       2       1       2      73    0.025525   415.94    1.0000  0.025525    415.94
       2       1       2      74    0.025525   415.25    1.0000  0.025525    415.25
       2       1       2      75    0.025525   414.56    1.0000  0.025525    414.56
       2       1       2      76    0.025525   413.88    1.0000  0.025525    413.88
       2       1       2      77    0.025525   413.19    1.0000  0.025525    413.19
       2       1       2      78    0.025525   412.51    1.0000  0.025525    412.51
       2       1       2      79    0.025525   411.83    1.0000  0.025525    411.83
       2       1       2      80    0.025525   411.15    1.0000  0.025525    411.15
       2       1       2      81    0.025525   410.48    1.0000  0.025525    410.48
       2       1       2      82    0.025525   409.81    1.0000  0.025525    409.81
       2       1       2      83    0.025525   409.14    1.0000  0.025525    409.14
       2       1       2      84    0.025525   408.47    1.0000  0.025525    408.47
       2       1       2      85    0.025525   407.80    1.0000  0.025525    407.80
       2       1       2      86    0.025525   407.14    1.0000  0.025525    407.14
       2       1       2      87    0.025525   406.47    1.0000  0.025525    406.47
       2       1       2      88    0.025525   405.81    1.0000  0.025525    405.81
       2       1       2      89    0.025525   405.16    1.0000  0.025525    405.16
       2       1       2      90    0.025525   404.50    1.0000  0.025525    404.50
       2       1       2      91    0.025525   403.85    1.0000  0.025525    403.85
       2       1       2      92    0.025525   403.20    1.0000  0.025525    403.20
       2       1       2      93    0.025525   402.55    1.0000  0.025525    402.55
       2       1       2      94    0.025525   401.90    1.0000  0.025525    401.90
       2       1       2      95    0.025525   401.25    1.0000  0.025525    401.25
       2       1       3       0    0.025525   433.00    1.0000  0.025525    433.00
       2       1       3       1    0.025525   431.97    1.0000  0.025525    431.97
       2       1       3       2    0.025525   430.95    1.0000  0.025525    430.95
       2       1       3       3    0.025525   429.93    1.0000  0.025525    429.93
       2       1       3       4    0.025525   428.92    1.0000  0.025525    428.92
       2       1       3       5    0.025525   427.91    1.0000  0.025525    427.91
       2       1       3       6    0.025525   426.90    1.0000  0.025525    426.90
       2       1       3       7    0.025525   425.90    1.0000  0.025525    425.90
       2       1       3       8    0.025525   424.91    1.0000  0.025525    424.91
       2       1       3       9    0.025525   423.92    1.0000  0.025525    423.92
       2       1       3      10    0.025525   422.93    1.0000  0.025525    422.93
       2       1       3      11    0.025525   421.95    1.0000  0.025525    421.95
       2       1       3      12    0.025525   420.98    1.0000  0.025525    420.98
       2       1       3      13    0.025525   420.00    1.0000  0.025525    420.00
       2       1       3      14    0.025525   419.04    1.0000  0.025525    419.04
       2       1       3      15    0.025525   418.07    1.0000  0.025525    418.07
       2       1       3      16    0.025525   417.11    1.0000  0.025525    417.11
       2       1       3      17    0.025525   416.16    1.0000  0.025525    416.16
       2       1       3      18    0.025525   415.21    1.0000  0.025525    415.21
       2       1       3      19    0.025525   414.26    1.0000  0.025525    414.26
       2       1       3      20    0.025525   413.32    1.0000  0.025525    413.32
       2       1       3      21    0.025525   412.39    1.0000  0.025525    412.39
       2       1       3      22    0.025525   411.45    1.0000  0.025525    411.45
       2       1       3      23    0.025525   410.53    1.0000  0.025525    410.53
       2       1       3      24    0.025525   409.60    1.0000  0.025525    409.60
       2       1       3      25    0.025525   408.68    1.0000  0.025525    408.68
       2       1       3      26    0.025525   407.76    1.0000  0.025525    407.76
       2       1       3      27    0.025525   406.85    1.0000  0.025525    406.85
       2       1       3      28    0.025525   405.94    1.0000  0.025525    405.94
       2       1       3      29    0.025525   405.04    1.0000  0.025525    405.04
       2       1       3      30    0.025525   404.14    1.0000  0.025525    404.14
       2       1       3      31    0.025525   403.25    1.0000  0.025525    403.25
       2       1       3      32    0.025525   402.35    1.0000  0.025525    402.35
       2       1       3      33    0.025525   401.47    1.0000  0.025525    401.47
       2       1       3      34    0.025525   400.58    1.0000  0.025525    400.58
       2       1       3      35    0.025525   399.70    1.0000  0.025525    399.70
       2       1       3      36    0.025525   398.82    1.0000  0.025525    398.82
       2       1       3      37    0.025525   397.95    1.0000  0.025525    397.95
       2       1       3      38    0.025525   397.08    1.0000  0.025525    397.08
       2       1       3      39    0.025525   396.22    1.0000  0.025525    396.22
       2       1       3      40    0.025525   395.36    1.0000  0.025525    395.36
       2       1       3      41    0.025525   394.50    1.0000  0.025525    394.50
       2       1       3      42    0.025525   393.65    1.0000  0.025525    393.65
       2       1       3      43    0.025525   392.80    1.0000  0.025525    392.80
       2       1       3      44    0.025525   391.95    1.0000  0.025525    391.95
       2       1       3      45    0.025525   391.11    1.0000  0.025525    391.11
       2       1       3      46    0.025525   390.27    1.0000  0.025525    390.27
       2       1       3      47    0.025525   389.43    1.0000  0.025525    389.43
       2       1       4       0    0.025525   412.00    1.0000  0.025525    412.00
       2       1       4       1    0.025525   410.58    1.0000  0.025525    410.58
       2       1       4       2    0.025525   409.16    1.0000  0.025525    409.16
