Layer     Region     Eta     Gain     DATA
       0        0        0        0  35.03010
       0        0        0        1   3.81560
       0        0        0        2   1.01550
       0        0        1        0  35.77080
       0        0        1        1   3.86980
       0        0        1        2   1.01970
       0        0        2        0  36.15410
       0        0        2        1   3.88480
       0        0        2        2   1.02250
       0        0        3        0  31.98510
       0        0        3        1   3.47340
       0        0        3        2   1.01130
       0        0        4        0  29.42820
       0        0        4        1   3.25430
       0        0        4        2   1.00980
       0        0        5        0  26.66710
       0        0        5        1   2.96600
       0        0        5        2   0.99410
       0        0        6        0  24.70410
       0        0        6        1   2.74530
       0        0        6        2   0.99550
       0        0        7        0  23.12320
       0        0        7        1   2.60990
       0        0        7        2   0.99350
       0        0        8        0  22.14360
       0        0        8        1   2.51350
       0        0        8        2   0.98160
       0        0        9        0  21.46020
       0        0        9        1   2.46910
       0        0        9        2   0.99050
       0        1        0        0  30.05700
       0        1        0        1   3.31280
       0        1        0        2   1.01660
       0        1        1        0  25.66190
       0        1        1        1   2.85680
       0        1        1        2   0.99340
       0        1        2        0  23.03110
       0        1        2        1   2.59300
       0        1        2        2   0.97450
       0        1        3        0  19.86930
       0        1        3        1   2.31630
       0        1        3        2   0.97840
       1        0        0        0  22.86400
       1        0        0        1   2.57880
       1        0        0        2   0.98430
       1        0        1        0  45.32650
       1        0        1        1   4.84500
       1        0        1        2   1.05700
       1        0        2        0  44.32150
       1        0        2        1   4.69470
       1        0        2        2   1.05330
       1        0        3        0  46.61340
       1        0        3        1   4.93280
       1        0        3        2   1.06780
       1        0        4        0  41.69020
       1        0        4        1   4.46640
       1        0        4        2   1.04440
       1        0        5        0  36.12250
       1        0        5        1   3.89340
       1        0        5        2   1.03260
       1        0        6        0  33.69530
       1        0        6        1   3.63490
       1        0        6        2   1.01630
       1        0        7        0  31.17800
       1        0        7        1   3.39090
       1        0        7        2   1.01760
       1        0        8        0  29.71510
       1        0        8        1   3.25160
       1        0        8        2   1.00700
       1        0        9        0  28.76130
       1        0        9        1   3.16080
       1        0        9        2   1.00240
       1        1        0        0  42.65990
       1        1        0        1   4.51820
       1        1        0        2   1.05080
       1        1        1        0  35.48080
       1        1        1        1   3.83360
       1        1        1        2   1.03640
       1        1        2        0  28.16310
       1        1        2        1   3.11280
       1        1        2        2   1.00010
       2        0        1        0  36.66490
       2        0        1        1   3.93460
       2        0        1        2   1.03180
       2        0        2        0  72.71440
       2        0        2        1   7.62750
       2        0        2        2   1.20490
       2        0        3        0  69.70510
       2        0        3        1   7.30430
       2        0        3        2   1.19010
       2        0        4        0  74.36690
       2        0        4        1   7.79250
       2        0        4        2   1.22100
       2        0        5        0  66.31380
       2        0        5        1   6.96150
       2        0        5        2   1.16960
       2        0        6        0  58.31000
       2        0        6        1   6.13760
       2        0        6        2   1.12750
       2        0        7        0  54.32060
       2        0        7        1   5.74580
       2        0        7        2   1.10800
       2        0        8        0  50.03880
       2        0        8        1   5.29120
       2        0        8        2   1.09070
       2        0        9        0  48.16300
       2        0        9        1   5.10670
       2        0        9        2   1.07980
       2        1        0        0  74.63460
       2        1        0        1   7.77410
       2        1        0        2   1.21030
       2        1        1        0  60.46740
       2        1        1        1   6.36550
       2        1        1        2   1.13720
       2        1        2        0  56.67070
       2        1        2        1   5.93550
       2        1        2        2   1.11320
       3        0        2        0  47.25060
       3        0        2        1   5.04260
       3        0        2        2   1.07180
       3        0        3        0  74.57680
       3        0        3        1   7.84230
       3        0        3        2   1.22650
       3        0        4        0  81.48440
       3        0        4        1   8.62500
       3        0        4        2   1.26440
       3        0        5        0  68.00220
       3        0        5        1   7.20130
       3        0        5        2   1.18290
       3        0        6        0  63.65410
       3        0        6        1   6.72740
       3        0        6        2   1.16020
       3        0        7        0  56.63210
       3        0        7        1   6.00780
       3        0        7        2   1.13190
       3        0        8        0  62.70340
       3        0        8        1   5.59940
       3        0        8        2   1.10550
       3        0        9        0  48.80190
       3        0        9        1   5.21790
       3        0        9        2   1.08360
       3        1        0        0  79.55350
       3        1        0        1   8.41730
       3        1        0        2   1.27170
       3        1        1        0  62.89180
       3        1        1        1   6.66160
       3        1        1        2   1.15210
       3        1        2        0  55.43940
       3        1        2        1   5.90950
       3        1        2        2   1.11870
       3        1        3        0  43.61130
       3        1        3        1   4.63540
       3        1        3        2   1.05670
