2340 14  1  1   1   0.004451   -143.621 241564.150
2341 14  1  1   2   0.004725   -143.114 241564.150
2342 14  1  1   3   0.005017   -142.610 241564.150
2343 14  1  1   4   0.004934   -142.111 241564.150
2344 14  1  1   5   0.004858   -141.620 241564.150
2345 14  1  1   6   0.004906   -141.131 241564.150
2346 14  1  1   7   0.005519   -140.627 241564.150
2347 14  1  1   8   0.005702   -140.135 241564.150
2348 14  1  1   9   0.005249   -139.657 241564.150
2349 14  1  1  10   0.005292   -139.156 241564.150
2350 14  1  1  11   0.005368   -138.655 241564.150
2351 14  1  1  12   0.005445   -138.152 241564.150
2352 14  1  1  13   0.004565   -137.657 241564.150
2353 14  1  1  14   0.003704   -137.163 241564.150
2354 14  1  1  15   0.002906   -136.680 241564.150
2355 14  1  1  16   0.000252   -136.233 241562.850
2356 14  1  1  17  -0.000568   -135.763 241562.850
2357 14  1  1  18   0.000196   -135.241 241562.850
2358 14  1  1  19   0.000093   -134.743 241562.850
2359 14  1  1  20  -0.000206   -134.257 241562.850
2360 14  1  1  21   0.000492   -133.744 241562.850
2361 14  1  1  22   0.000424   -133.249 241562.850
2362 14  1  1  23  -0.000052   -132.763 241562.850
2363 14  1  1  24  -0.000479   -132.269 241562.850
2364 14  1  1  25   0.000118   -131.757 241562.850
2365 14  1  1  26   0.000381   -131.258 241562.850
2366 14  1  1  27  -0.000727   -130.779 241562.850
2367 14  1  1  28  -0.000982   -130.266 241562.850
2368 14  1  1  29  -0.002468   -129.798 241562.850
2369 14  1  1  30  -0.002259   -129.296 241562.850
2370 14  2  1   1   0.000745   -143.876 241566.150
2371 14  2  1   2   0.001029   -143.374 241566.150
2372 14  2  1   3   0.002689   -142.833 241566.150
2373 14  2  1   4   0.002268   -142.335 241566.150
2374 14  2  1   5   0.001682   -141.844 241566.150
2375 14  2  1   6   0.001231   -141.351 241566.150
2376 14  2  1   7   0.001283   -140.848 241566.150
2377 14  2  1   8   0.001389   -140.345 241566.150
2378 14  2  1   9   0.000279   -139.865 241566.150
2379 14  2  1  10   0.000781   -139.362 241566.150
2380 14  2  1  11   0.001696   -138.854 241566.150
2381 14  2  1  12   0.000740   -138.381 241566.150
2382 14  2  1  13   0.000726   -137.894 241566.150
2383 14  2  1  14  -0.000175   -137.431 241566.150
2384 14  2  1  15  -0.001057   -136.963 241566.150
2385 14  2  1  16  -0.000168   -136.403 241564.850
2386 14  2  1  17  -0.003995   -135.992 241564.850
2387 14  2  1  18  -0.002048   -135.454 241564.850
2388 14  2  1  19  -0.002550   -134.970 241564.850
2389 14  2  1  20  -0.002764   -134.476 241564.850
2390 14  2  1  21  -0.002004   -133.963 241564.850
2391 14  2  1  22  -0.002177   -133.470 241564.850
2392 14  2  1  23  -0.002705   -132.985 241564.850
2393 14  2  1  24  -0.002401   -132.480 241564.850
2394 14  2  1  25  -0.002584   -131.984 241564.850
2395 14  2  1  26  -0.003043   -131.500 241564.850
2396 14  2  1  27  -0.002664   -131.003 241564.850
2397 14  2  1  28  -0.002824   -130.516 241564.850
2398 14  2  1  29  -0.003132   -130.027 241564.850
2399 14  2  1  30  -0.003617   -129.537 241564.850
2400 14  3  1   1  -0.000078   -143.747 241564.150
2401 14  3  1   2  -0.000210   -143.239 241564.150
2402 14  3  1   3   0.001250   -142.697 241564.150
2403 14  3  1   4   0.000802   -142.201 241564.150
2404 14  3  1   5   0.000569   -141.695 241564.150
2405 14  3  1   6   0.000801   -141.182 241564.150
2406 14  3  1   7   0.001165   -140.678 241564.150
2407 14  3  1   8   0.001618   -140.171 241564.150
2408 14  3  1   9   0.000558   -139.692 241564.150
2409 14  3  1  10   0.001397   -139.175 241564.150
2410 14  3  1  11   0.002123   -138.666 241564.150
2411 14  3  1  12   0.000771   -138.200 241564.150
2412 14  3  1  13   0.000936   -137.698 241564.150
2413 14  3  1  14   0.002164   -137.173 241564.150
2414 14  3  1  15   0.001644   -136.698 241564.150
2415 14  3  1  16  -0.000580   -136.239 241562.850
2416 14  3  1  17   0.000983   -135.703 241562.850
2417 14  3  1  18   0.001038   -135.213 241562.850
2418 14  3  1  19   0.000082   -134.728 241562.850
2419 14  3  1  20  -0.000049   -134.220 241562.850
2420 14  3  1  21   0.001227   -133.696 241562.850
2421 14  3  1  22   0.000951   -133.203 241562.850
2422 14  3  1  23   0.000592   -132.711 241562.850
2423 14  3  1  24   0.000793   -132.206 241562.850
2424 14  3  1  25   0.000937   -131.705 241562.850
2425 14  3  1  26   0.000955   -131.200 241562.850
2426 14  3  1  27   0.000759   -130.702 241562.850
2427 14  3  1  28   0.000825   -130.206 241562.850
2428 14  3  1  29   0.000795   -129.714 241562.850
2429 14  3  1  30   0.000464   -129.240 241562.850
2430 14  1  2   1  -0.004983   -143.651 241564.150
2431 14  1  2   2  -0.005583   -143.137 241564.150
2432 14  1  2   3  -0.005918   -142.636 241564.150
2433 14  1  2   4  -0.006420   -142.123 241564.150
2434 14  1  2   5  -0.006502   -141.611 241564.150
2435 14  1  2   6  -0.005866   -141.130 241564.150
2436 14  1  2   7  -0.006163   -140.622 241564.150
2437 14  1  2   8  -0.006439   -140.103 241564.150
2438 14  1  2   9  -0.005984   -139.613 241564.150
2439 14  1  2  10  -0.005673   -139.127 241564.150
2440 14  1  2  11  -0.005778   -138.627 241564.150
2441 14  1  2  12  -0.006533   -138.108 241564.150
2442 14  1  2  13  -0.005287   -137.629 241564.150
2443 14  1  2  14  -0.003932   -137.149 241564.150
2444 14  1  2  15  -0.002841   -136.668 241564.150
2445 14  1  2  16  -0.003017   -136.159 241562.850
2446 14  1  2  17  -0.003691   -135.650 241562.850
2447 14  1  2  18   0.001595   -135.249 241562.850
2448 14  1  2  19   0.004274   -134.812 241562.850
2449 14  1  2  20   0.002851   -134.283 241562.850
2450 14  1  2  21   0.001606   -133.750 241562.850
2451 14  1  2  22   0.002244   -133.265 241562.850
2452 14  1  2  23   0.002029   -132.758 241562.850
2453 14  1  2  24   0.001018   -132.230 241562.850
2454 14  1  2  25   0.001979   -131.751 241562.850
2455 14  1  2  26   0.001991   -131.254 241562.850
2456 14  1  2  27   0.000921   -130.737 241562.850
2457 14  1  2  28   0.001277   -130.252 241562.850
2458 14  1  2  29  -0.000020   -129.729 241562.850
2459 14  1  2  30  -0.000793   -129.207 241562.850
2460 14  2  2   1  -0.003185   -143.757 241566.150
2461 14  2  2   2  -0.003810   -143.252 241566.150
