0	56	0
1	32	6
2	40	4
3	41	12
4	24	1
5	33	14
6	16	3
7	25	9
8	48	2
9	17	11
10	57	8
11	18	19
12	26	17
13	43	28
14	59	24
15	51	26
16	35	30
17	49	10
18	60	32
19	58	16
20	52	34
21	61	40
22	44	36
23	54	50
24	62	48
25	63	56
26	50	18
27	53	42
28	34	22
29	45	44
30	36	38
31	42	20
32	46	52
33	55	58
34	27	25
35	37	46
36	31	57
37	47	60
38	28	33
39	38	54
40	39	62
41	30	49
42	23	59
43	10	21
44	29	41
45	15	61
46	22	51
47	14	53
48	20	35
49	9	13
50	7	63
51	21	43
52	19	27
53	4	39
54	12	37
55	6	55
56	13	45
57	5	47
58	11	29
59	3	31
60	2	23
61	1	15
62	8	5
63	0	7

