2086 12  1  2  17  -0.003737   -135.488 241560.850
2087 12  1  2  18  -0.003265   -134.992 241560.850
2088 12  1  2  19  -0.003622   -134.485 241560.850
2089 12  1  2  20  -0.003721   -133.973 241560.850
2090 12  1  2  21  -0.003704   -133.474 241560.850
2091 12  1  2  22  -0.004080   -132.976 241560.850
2092 12  1  2  23  -0.004120   -132.475 241560.850
2093 12  1  2  24  -0.004019   -131.974 241560.850
2094 12  1  2  25  -0.003984   -131.474 241560.850
2095 12  1  2  26  -0.004445   -130.955 241560.850
2096 12  1  2  27  -0.004508   -130.443 241560.850
2097 12  1  2  28  -0.004253   -129.938 241560.850
2098 12  1  2  29  -0.004173   -129.434 241560.850
2099 12  1  2  30  -0.003489   -128.950 241560.850
2100 12  2  2   1  -0.004230   -143.676 241564.150
2101 12  2  2   2  -0.005365   -143.159 241564.150
2102 12  2  2   3  -0.004711   -142.675 241564.150
2103 12  2  2   4  -0.004504   -142.184 241564.150
2104 12  2  2   5  -0.004460   -141.689 241564.150
2105 12  2  2   6  -0.004811   -141.176 241564.150
2106 12  2  2   7  -0.004931   -140.672 241564.150
2107 12  2  2   8  -0.004881   -140.172 241564.150
2108 12  2  2   9  -0.005130   -139.662 241564.150
2109 12  2  2  10  -0.005582   -139.148 241564.150
2110 12  2  2  11  -0.005580   -138.649 241564.150
2111 12  2  2  12  -0.004794   -138.163 241564.150
2112 12  2  2  13  -0.004861   -137.667 241564.150
2113 12  2  2  14  -0.005087   -137.159 241564.150
2114 12  2  2  15  -0.003609   -136.679 241564.150
2115 12  2  2  16  -0.007753   -136.034 241562.850
2116 12  2  2  17  -0.010352   -135.474 241562.850
2117 12  2  2  18  -0.009978   -134.981 241562.850
2118 12  2  2  19  -0.010710   -134.470 241562.850
2119 12  2  2  20  -0.012115   -133.937 241562.850
2120 12  2  2  21  -0.012399   -133.424 241562.850
2121 12  2  2  22  -0.013344   -132.900 241562.850
2122 12  2  2  23  -0.013283   -132.399 241562.850
2123 12  2  2  24  -0.012563   -131.910 241562.850
2124 12  2  2  25  -0.013246   -131.394 241562.850
2125 12  2  2  26  -0.013748   -130.889 241562.850
2126 12  2  2  27  -0.014308   -130.386 241562.850
2127 12  2  2  28  -0.014063   -129.895 241562.850
2128 12  2  2  29  -0.015167   -129.376 241562.850
2129 12  2  2  30  -0.013793   -128.922 241562.850
2130 12  3  2   1  -0.001826   -143.824 241566.150
2131 12  3  2   2  -0.000777   -143.355 241566.150
2132 12  3  2   3  -0.000120   -142.866 241566.150
2133 12  3  2   4  -0.000564   -142.352 241566.150
2134 12  3  2   5  -0.000786   -141.844 241566.150
2135 12  3  2   6  -0.000007   -141.366 241566.150
2136 12  3  2   7  -0.000261   -140.872 241566.150
2137 12  3  2   8  -0.000871   -140.369 241566.150
2138 12  3  2   9  -0.000379   -139.890 241566.150
2139 12  3  2  10  -0.000250   -139.395 241566.150
2140 12  3  2  11  -0.000701   -138.887 241566.150
2141 12  3  2  12  -0.000489   -138.395 241566.150
2142 12  3  2  13  -0.000292   -137.892 241566.150
2143 12  3  2  14   0.000283   -137.401 241566.150
2144 12  3  2  15   0.000529   -136.916 241566.150
2145 12  3  2  16  -0.002187   -136.341 241564.850
2146 12  3  2  17  -0.004107   -135.794 241564.850
2147 12  3  2  18  -0.003969   -135.291 241564.850
2148 12  3  2  19  -0.004876   -134.768 241564.850
2149 12  3  2  20  -0.004984   -134.253 241564.850
2150 12  3  2  21  -0.003900   -133.777 241564.850
2151 12  3  2  22  -0.004615   -133.273 241564.850
2152 12  3  2  23  -0.005226   -132.770 241564.850
2153 12  3  2  24  -0.004874   -132.277 241564.850
2154 12  3  2  25  -0.005401   -131.761 241564.850
2155 12  3  2  26  -0.006087   -131.253 241564.850
2156 12  3  2  27  -0.005518   -130.777 241564.850
2157 12  3  2  28  -0.005587   -130.271 241564.850
2158 12  3  2  29  -0.005966   -129.756 241564.850
2159 12  3  2  30  -0.003066   -129.328 241564.850
