0	19	0	56	63
0	19	1	32	57
0	19	2	40	59
0	19	3	41	51
0	19	4	24	62
0	19	5	33	49
0	19	6	16	60
0	19	7	25	54
0	19	8	48	61
0	19	9	17	52
0	19	10	57	55
0	19	11	18	44
0	19	12	26	46
0	19	13	43	35
0	19	14	59	39
0	19	15	51	37
0	19	16	35	33
0	19	17	49	53
0	19	18	60	31
0	19	19	58	47
0	19	20	52	29
0	19	21	61	23
0	19	22	44	27
0	19	23	54	13
0	19	24	62	15
0	19	25	63	7
0	19	26	50	45
0	19	27	53	21
0	19	28	34	41
0	19	29	45	19
0	19	30	36	25
0	19	31	42	43
0	19	32	46	11
0	19	33	55	5
0	19	34	27	38
0	19	35	37	17
0	19	36	31	6
0	19	37	47	3
0	19	38	28	30
0	19	39	38	9
0	19	40	39	1
0	19	41	30	14
0	19	42	23	4
0	19	43	10	42
0	19	44	29	22
0	19	45	15	2
0	19	46	22	12
0	19	47	14	10
0	19	48	20	28
0	19	49	9	50
0	19	50	7	0
0	19	51	21	20
0	19	52	19	36
0	19	53	4	24
0	19	54	12	26
0	19	55	6	8
0	19	56	13	18
0	19	57	5	16
0	19	58	11	34
0	19	59	3	32
0	19	60	2	40
0	19	61	1	48
0	19	62	8	58
0	19	63	0	56
4	15	0	56	63
4	15	1	32	57
4	15	2	40	59
4	15	3	41	51
4	15	4	24	62
4	15	5	33	49
4	15	6	16	60
4	15	7	25	54
4	15	8	48	61
4	15	9	17	52
4	15	10	57	55
4	15	11	18	44
4	15	12	26	46
4	15	13	43	35
4	15	14	59	39
4	15	15	51	37
4	15	16	35	33
4	15	17	49	53
4	15	18	60	31
4	15	19	58	47
4	15	20	52	29
4	15	21	61	23
4	15	22	44	27
4	15	23	54	13
4	15	24	62	15
4	15	25	63	7
4	15	26	50	45
4	15	27	53	21
4	15	28	34	41
4	15	29	45	19
4	15	30	36	25
4	15	31	42	43
4	15	32	46	11
4	15	33	55	5
4	15	34	27	38
4	15	35	37	17
4	15	36	31	6
4	15	37	47	3
