0	0	0	0.438438
0	1	0	0.620621
0	2	0	0.590591
0	3	0	0.400400
0	0	1	0.429429
0	1	1	0.552553
0	2	1	0.555556
0	3	1	0.234234
1	0	0	0.453453
1	1	0	0.637638
1	2	0	0.602603
1	3	0	0.381381
1	0	1	0.421421
1	1	1	0.539540
1	2	1	0.532533
1	3	1	0.291291
2	0	0	0.458458
2	1	0	0.665666
2	2	0	0.629630
2	3	0	0.439439
2	0	1	0.397397
2	1	1	0.570571
2	2	1	0.531532
2	3	1	0.338338
3	0	0	0.474474
3	1	0	0.649650
3	2	0	1.000000
3	3	0	0.439439
3	0	1	0.389389
3	1	1	0.534535
3	2	1	0.526527
3	3	1	0.236236
5	0	0	0.351351
5	1	0	0.538539
5	2	0	0.550551
5	3	0	0.354354
5	0	1	0.322322
5	1	1	0.456456
5	2	1	0.441441
5	3	1	0.192192
6	0	0	0.407407
6	1	0	0.522523
6	2	0	0.477477
6	3	0	0.250250
6	0	1	0.401401
6	1	1	0.497497
6	2	1	0.446446
6	3	1	0.165165
7	0	0	0.339339
7	1	0	0.375375
7	2	0	0.293293
7	3	0	0.175175
7	0	1	0.362362
7	1	1	0.404404
7	2	1	0.249249
7	3	1	0.100100
