#eFEXID,FPGA,eTowerID,eTowerEta,eTowerPhi
0,0,501546,24,10
0,0,501482,23,10
0,0,501418,22,10
0,0,501354,21,10
0,0,501290,20,10
0,0,501226,19,10
0,0,501545,24,9
0,0,501481,23,9
0,0,501417,22,9
0,0,501353,21,9
0,0,501289,20,9
0,0,501225,19,9
0,0,501544,24,8
0,0,501480,23,8
0,0,501416,22,8
0,0,501352,21,8
0,0,501288,20,8
0,0,501224,19,8
0,0,501543,24,7
0,0,501479,23,7
0,0,501415,22,7
0,0,501351,21,7
0,0,501287,20,7
0,0,501223,19,7
0,0,501542,24,6
0,0,501478,23,6
0,0,501414,22,6
0,0,501350,21,6
0,0,501286,20,6
0,0,501222,19,6
0,0,501541,24,5
0,0,501477,23,5
0,0,501413,22,5
0,0,501349,21,5
0,0,501285,20,5
0,0,501221,19,5
0,0,501540,24,4
0,0,501476,23,4
0,0,501412,22,4
0,0,501348,21,4
0,0,501284,20,4
0,0,501220,19,4
0,0,501539,24,3
0,0,501475,23,3
0,0,501411,22,3
0,0,501347,21,3
0,0,501283,20,3
0,0,501219,19,3
0,0,501538,24,2
0,0,501474,23,2
0,0,501410,22,2
0,0,501346,21,2
0,0,501282,20,2
0,0,501218,19,2
0,0,501537,24,1
0,0,501473,23,1
0,0,501409,22,1
0,0,501345,21,1
0,0,501281,20,1
0,0,501217,19,1
0,1,501290,20,10
0,1,501226,19,10
0,1,501162,18,10
0,1,501098,17,10
0,1,501034,16,10
0,1,500970,15,10
0,1,501289,20,9
0,1,501225,19,9
0,1,501161,18,9
0,1,501097,17,9
0,1,501033,16,9
0,1,500969,15,9
0,1,501288,20,8
0,1,501224,19,8
0,1,501160,18,8
0,1,501096,17,8
0,1,501032,16,8
0,1,500968,15,8
0,1,501287,20,7
0,1,501223,19,7
0,1,501159,18,7
0,1,501095,17,7
0,1,501031,16,7
0,1,500967,15,7
0,1,501286,20,6
0,1,501222,19,6
0,1,501158,18,6
0,1,501094,17,6
0,1,501030,16,6
0,1,500966,15,6
0,1,501285,20,5
0,1,501221,19,5
0,1,501157,18,5
0,1,501093,17,5
0,1,501029,16,5
0,1,500965,15,5
0,1,501284,20,4
0,1,501220,19,4
0,1,501156,18,4
0,1,501092,17,4
0,1,501028,16,4
0,1,500964,15,4
0,1,501283,20,3
0,1,501219,19,3
0,1,501155,18,3
0,1,501091,17,3
0,1,501027,16,3
0,1,500963,15,3
0,1,501282,20,2
0,1,501218,19,2
0,1,501154,18,2
0,1,501090,17,2
0,1,501026,16,2
0,1,500962,15,2
0,1,501281,20,1
0,1,501217,19,1
0,1,501153,18,1
0,1,501089,17,1
0,1,501025,16,1
0,1,500961,15,1
0,2,501034,16,10
0,2,500970,15,10
0,2,300906,14,10
0,2,100842,13,10
0,2,100778,12,10
0,2,100714,11,10
0,2,501033,16,9
0,2,500969,15,9
0,2,300905,14,9
0,2,100841,13,9
0,2,100777,12,9
0,2,100713,11,9
0,2,501032,16,8
0,2,500968,15,8
0,2,300904,14,8
0,2,100840,13,8
0,2,100776,12,8
0,2,100712,11,8
0,2,501031,16,7
0,2,500967,15,7
0,2,300903,14,7
0,2,100839,13,7
0,2,100775,12,7
0,2,100711,11,7
0,2,501030,16,6
0,2,500966,15,6
0,2,300902,14,6
0,2,100838,13,6
0,2,100774,12,6
0,2,100710,11,6
0,2,501029,16,5
0,2,500965,15,5
0,2,300901,14,5
0,2,100837,13,5
0,2,100773,12,5
0,2,100709,11,5
0,2,501028,16,4
0,2,500964,15,4
0,2,300900,14,4
0,2,100836,13,4
0,2,100772,12,4
0,2,100708,11,4
0,2,501027,16,3
0,2,500963,15,3
0,2,300899,14,3
0,2,100835,13,3
0,2,100771,12,3
0,2,100707,11,3
0,2,501026,16,2
0,2,500962,15,2
0,2,300898,14,2
0,2,100834,13,2
0,2,100770,12,2
0,2,100706,11,2
0,2,501025,16,1
0,2,500961,15,1
0,2,300897,14,1
0,2,100833,13,1
0,2,100769,12,1
0,2,100705,11,1
0,3,100778,12,10
0,3,100714,11,10
0,3,100650,10,10
0,3,100586,9,10
0,3,100522,8,10
0,3,100458,7,10
0,3,100777,12,9
0,3,100713,11,9
0,3,100649,10,9
0,3,100585,9,9
0,3,100521,8,9
0,3,100457,7,9
0,3,100776,12,8
0,3,100712,11,8
0,3,100648,10,8
0,3,100584,9,8
0,3,100520,8,8
0,3,100456,7,8
0,3,100775,12,7
0,3,100711,11,7
0,3,100647,10,7
0,3,100583,9,7
0,3,100519,8,7
0,3,100455,7,7
0,3,100774,12,6
0,3,100710,11,6
0,3,100646,10,6
0,3,100582,9,6
0,3,100518,8,6
0,3,100454,7,6
0,3,100773,12,5
0,3,100709,11,5
0,3,100645,10,5
0,3,100581,9,5
0,3,100517,8,5
0,3,100453,7,5
0,3,100772,12,4
0,3,100708,11,4
0,3,100644,10,4
0,3,100580,9,4
0,3,100516,8,4
0,3,100452,7,4
0,3,100771,12,3
0,3,100707,11,3
0,3,100643,10,3
0,3,100579,9,3
0,3,100515,8,3
0,3,100451,7,3
0,3,100770,12,2
0,3,100706,11,2
0,3,100642,10,2
0,3,100578,9,2
0,3,100514,8,2
0,3,100450,7,2
0,3,100769,12,1
0,3,100705,11,1
0,3,100641,10,1
0,3,100577,9,1
0,3,100513,8,1
0,3,100449,7,1
3,0,501554,24,18
3,0,501490,23,18
3,0,501426,22,18
3,0,501362,21,18
3,0,501298,20,18
3,0,501234,19,18
3,0,501553,24,17
3,0,501489,23,17
3,0,501425,22,17
3,0,501361,21,17
3,0,501297,20,17
3,0,501233,19,17
3,0,501552,24,16
3,0,501488,23,16
3,0,501424,22,16
3,0,501360,21,16
3,0,501296,20,16
3,0,501232,19,16
3,0,501551,24,15
3,0,501487,23,15
3,0,501423,22,15
3,0,501359,21,15
3,0,501295,20,15
3,0,501231,19,15
3,0,501550,24,14
3,0,501486,23,14
3,0,501422,22,14
3,0,501358,21,14
3,0,501294,20,14
3,0,501230,19,14
3,0,501549,24,13
3,0,501485,23,13
3,0,501421,22,13
3,0,501357,21,13
3,0,501293,20,13
3,0,501229,19,13
3,0,501548,24,12
3,0,501484,23,12
3,0,501420,22,12
3,0,501356,21,12
3,0,501292,20,12
3,0,501228,19,12
3,0,501547,24,11
3,0,501483,23,11
3,0,501419,22,11
3,0,501355,21,11
3,0,501291,20,11
3,0,501227,19,11
3,0,501546,24,10
3,0,501482,23,10
3,0,501418,22,10
3,0,501354,21,10
3,0,501290,20,10
3,0,501226,19,10
3,0,501545,24,9
3,0,501481,23,9
3,0,501417,22,9
3,0,501353,21,9
3,0,501289,20,9
3,0,501225,19,9
3,1,501298,20,18
3,1,501234,19,18
3,1,501170,18,18
3,1,501106,17,18
3,1,501042,16,18
3,1,500978,15,18
3,1,501297,20,17
3,1,501233,19,17
3,1,501169,18,17
3,1,501105,17,17
3,1,501041,16,17
3,1,500977,15,17
3,1,501296,20,16
3,1,501232,19,16
3,1,501168,18,16
3,1,501104,17,16
3,1,501040,16,16
3,1,500976,15,16
3,1,501295,20,15
3,1,501231,19,15
3,1,501167,18,15
3,1,501103,17,15
3,1,501039,16,15
3,1,500975,15,15
3,1,501294,20,14
3,1,501230,19,14
3,1,501166,18,14
3,1,501102,17,14
3,1,501038,16,14
3,1,500974,15,14
3,1,501293,20,13
3,1,501229,19,13
3,1,501165,18,13
3,1,501101,17,13
3,1,501037,16,13
3,1,500973,15,13
3,1,501292,20,12
3,1,501228,19,12
3,1,501164,18,12
3,1,501100,17,12
3,1,501036,16,12
3,1,500972,15,12
3,1,501291,20,11
3,1,501227,19,11
3,1,501163,18,11
3,1,501099,17,11
3,1,501035,16,11
3,1,500971,15,11
3,1,501290,20,10
3,1,501226,19,10
3,1,501162,18,10
3,1,501098,17,10
3,1,501034,16,10
3,1,500970,15,10
3,1,501289,20,9
3,1,501225,19,9
3,1,501161,18,9
3,1,501097,17,9
3,1,501033,16,9
3,1,500969,15,9
3,2,501042,16,18
3,2,500978,15,18
3,2,300914,14,18
3,2,100850,13,18
3,2,100786,12,18
3,2,100722,11,18
3,2,501041,16,17
3,2,500977,15,17
3,2,300913,14,17
3,2,100849,13,17
3,2,100785,12,17
3,2,100721,11,17
3,2,501040,16,16
3,2,500976,15,16
3,2,300912,14,16
3,2,100848,13,16
3,2,100784,12,16
3,2,100720,11,16
3,2,501039,16,15
3,2,500975,15,15
3,2,300911,14,15
3,2,100847,13,15
3,2,100783,12,15
3,2,100719,11,15
3,2,501038,16,14
3,2,500974,15,14
3,2,300910,14,14
3,2,100846,13,14
3,2,100782,12,14
3,2,100718,11,14
3,2,501037,16,13
3,2,500973,15,13
3,2,300909,14,13
3,2,100845,13,13
3,2,100781,12,13
3,2,100717,11,13
3,2,501036,16,12
3,2,500972,15,12
3,2,300908,14,12
3,2,100844,13,12
3,2,100780,12,12
3,2,100716,11,12
3,2,501035,16,11
3,2,500971,15,11
3,2,300907,14,11
3,2,100843,13,11
3,2,100779,12,11
3,2,100715,11,11
3,2,501034,16,10
3,2,500970,15,10
3,2,300906,14,10
3,2,100842,13,10
3,2,100778,12,10
3,2,100714,11,10
3,2,501033,16,9
3,2,500969,15,9
3,2,300905,14,9
3,2,100841,13,9
3,2,100777,12,9
3,2,100713,11,9
3,3,100786,12,18
3,3,100722,11,18
3,3,100658,10,18
3,3,100594,9,18
3,3,100530,8,18
3,3,100466,7,18
3,3,100785,12,17
3,3,100721,11,17
3,3,100657,10,17
3,3,100593,9,17
3,3,100529,8,17
3,3,100465,7,17
3,3,100784,12,16
3,3,100720,11,16
3,3,100656,10,16
3,3,100592,9,16
3,3,100528,8,16
3,3,100464,7,16
3,3,100783,12,15
3,3,100719,11,15
3,3,100655,10,15
3,3,100591,9,15
3,3,100527,8,15
3,3,100463,7,15
3,3,100782,12,14
3,3,100718,11,14
3,3,100654,10,14
3,3,100590,9,14
3,3,100526,8,14
3,3,100462,7,14
3,3,100781,12,13
3,3,100717,11,13
3,3,100653,10,13
3,3,100589,9,13
3,3,100525,8,13
3,3,100461,7,13
3,3,100780,12,12
3,3,100716,11,12
3,3,100652,10,12
3,3,100588,9,12
3,3,100524,8,12
3,3,100460,7,12
3,3,100779,12,11
3,3,100715,11,11
3,3,100651,10,11
3,3,100587,9,11
3,3,100523,8,11
3,3,100459,7,11
3,3,100778,12,10
3,3,100714,11,10
3,3,100650,10,10
3,3,100586,9,10
3,3,100522,8,10
3,3,100458,7,10
3,3,100777,12,9
3,3,100713,11,9
3,3,100649,10,9
3,3,100585,9,9
3,3,100521,8,9
3,3,100457,7,9
6,0,501562,24,26
6,0,501498,23,26
6,0,501434,22,26
6,0,501370,21,26
6,0,501306,20,26
6,0,501242,19,26
6,0,501561,24,25
6,0,501497,23,25
6,0,501433,22,25
6,0,501369,21,25
6,0,501305,20,25
6,0,501241,19,25
6,0,501560,24,24
6,0,501496,23,24
6,0,501432,22,24
6,0,501368,21,24
6,0,501304,20,24
6,0,501240,19,24
6,0,501559,24,23
6,0,501495,23,23
6,0,501431,22,23
6,0,501367,21,23
6,0,501303,20,23
6,0,501239,19,23
6,0,501558,24,22
6,0,501494,23,22
6,0,501430,22,22
6,0,501366,21,22
6,0,501302,20,22
6,0,501238,19,22
6,0,501557,24,21
6,0,501493,23,21
6,0,501429,22,21
6,0,501365,21,21
6,0,501301,20,21
6,0,501237,19,21
6,0,501556,24,20
6,0,501492,23,20
6,0,501428,22,20
6,0,501364,21,20
6,0,501300,20,20
6,0,501236,19,20
6,0,501555,24,19
6,0,501491,23,19
6,0,501427,22,19
6,0,501363,21,19
6,0,501299,20,19
6,0,501235,19,19
6,0,501554,24,18
6,0,501490,23,18
6,0,501426,22,18
6,0,501362,21,18
6,0,501298,20,18
6,0,501234,19,18
6,0,501553,24,17
6,0,501489,23,17
6,0,501425,22,17
6,0,501361,21,17
6,0,501297,20,17
6,0,501233,19,17
6,1,501306,20,26
6,1,501242,19,26
6,1,501178,18,26
6,1,501114,17,26
6,1,501050,16,26
6,1,500986,15,26
6,1,501305,20,25
6,1,501241,19,25
6,1,501177,18,25
6,1,501113,17,25
6,1,501049,16,25
6,1,500985,15,25
6,1,501304,20,24
6,1,501240,19,24
6,1,501176,18,24
6,1,501112,17,24
6,1,501048,16,24
6,1,500984,15,24
6,1,501303,20,23
6,1,501239,19,23
6,1,501175,18,23
6,1,501111,17,23
6,1,501047,16,23
6,1,500983,15,23
6,1,501302,20,22
6,1,501238,19,22
6,1,501174,18,22
