161014 2011-03-24:01:12:59 178109 321 -1 321 2011-03-24:01:14:35 178109 323 Y 1647 194 ON ON
100001 2011-03-25:12:10:54 0 0 -1 -1 2011-03-25:12:10:58 0 0 N 1651 1 ON ON
102001 2011-03-25:12:10:49 0 0 -1 -1 2011-03-25:12:38:39 0 0 N 1651 1 ON ON
102004 2011-03-25:12:10:50 0 0 -1 -1 2011-03-25:12:10:59 0 0 N 1651 1 ON ON
167001 2011-04-06:04:48:43 179007 73 -1 -1 2011-04-06:04:53:36 179007 78 N 1675 13 OFF OFF
167010 2011-04-08:20:36:47 179330 28 -1 -1 2011-04-08:20:36:57 179330 28 N 1677 0 OFF OFF
167010 2011-04-08:20:39:37 179330 31 -1 -1 2011-04-08:20:41:47 179330 33 N 1677 0 OFF OFF
213015 2011-04-08:14:35:52 179274 1 -1 -1 2011-04-08:14:37:39 179274 1 N 1677 0 OFF OFF
125008 2011-04-10:12:51:40 0 0 -1 -1 2011-04-10:16:33:12 179433 111 N 1691 805 OFF OFF
19011 2011-04-10:18:52:14 179433 250 -1 -1 2011-04-10:18:52:41 179433 251 N 1692 805 OFF OFF
74006 2011-04-10:14:11:26 179432 1 -1 -1 2011-04-10:14:17:24 179432 1 N 1691 805 OFF OFF
322000 2011-04-13:15:00:40 179581 498 498 -1 2011-04-13:20:55:23 0 0 Y 1704 229 OFF OFF
145010 2011-04-13:16:11:26 179581 570 -1 570 2011-04-13:16:13:44 179581 577 Y 1704 229 OFF OFF
2004 2011-04-13:15:00:56 179581 498 -1 498 2011-04-13:15:23:55 179581 522 Y 1704 229 OFF OFF
286013 2011-04-13:14:11:54 179581 447 -1 -1 2011-04-13:21:38:55 179592 1 N 1704 229 OFF OFF
166008 2011-04-14:06:02:23 179603 173 -1 -1 2011-04-14:06:40:29 179603 211 N 1708 0 RAMP OFF
152001 2011-04-15:06:41:49 179710 556 574 -1 2011-04-16:10:27:15 179768 1 Y 1711 214 ON ON
32013 2011-04-15:05:05:04 179710 460 -1 460 2011-04-15:05:10:31 179710 465 Y 1711 214 ON ON
74006 2011-04-15:04:08:08 179710 403 408 -1 9999-12-31:23:00:00 0 0 Y 1711 214 ON ON
324000 2011-04-15:19:27:39 179725 241 -1 -1 2011-04-15:20:09:43 0 0 N 1712 0 ON ON
61008 2011-04-15:09:08:34 179710 706 -1 707 2011-04-15:09:09:50 179710 708 Y 1711 214 ON ON
144001 2011-04-16:01:36:16 179739 233 -1 233 2011-04-16:01:47:48 179739 244 Y 1713 214 ON ON
294000 2011-04-15:21:18:02 0 0 -1 -1 2011-04-15:22:39:51 179739 49 N 1713 0 ON ON
294000 2011-04-16:00:48:46 179739 184 184 -1 2011-04-16:08:10:45 179749 17 Y 1713 214 ON ON
102001 2011-04-15:19:27:49 179725 241 -1 242 2011-04-15:19:39:06 179725 253 N 1712 0 ON ON
