41  1 0  -2.5 
42  1 0  -2.5 
42  2 0  -3.0 
42  3 0  -4.0 
42  4 0  -3.0 
43  1 0  -2.5 
44  1 0  -2.0 
44  2 0  -1.5 
44  3 0  -3.0 
44  4 0  -3.0 
44  5 0  -3.0 
45  1 0  -2.5 
46  1 0  -2.0 
46  2 0  -1.5 
46  3 0  -3.0 
46  4 0  -3.0 
46  5 0  -3.0 
47  1 0  -1.5 
48  1 0   0.5 
41 -1 0  -2.5 
42 -1 0  -2.5 
42 -2 0  -3.0 
42 -3 0  -4.0 
42 -4 0  -3.0 
43 -1 0  -2.5 
44 -1 0  -2.0 
44 -2 0  -1.5 
44 -3 0  -3.0 
44 -4 0  -3.0 
44 -5 0  -3.0 
45 -1 0  -2.5 
46 -1 0  -2.0 
46 -2 0  -1.5 
46 -3 0  -3.0 
46 -4 0  -3.0 
46 -5 0  -3.0 
47 -1 0  -1.5 
48 -1 0   0.5 
41  1 1  -8.5 
42  1 1  -7.5 
42  2 1 -10.5 
42  3 1  -8.5 
42  4 1 -10.0 
43  1 1  -9.5 
44  1 1  -7.5 
44  2 1 -11.0 
44  3 1  -8.0 
44  4 1 -11.0 
44  5 1 -10.5 
45  1 1  -9.0 
46  1 1  -7.5 
46  2 1 -10.5 
46  3 1  -7.0 
46  4 1 -10.0 
46  5 1 -10.0 
47  1 1  -5.0 
48  1 1  -6.0 
41 -1 1  -8.5 
42 -1 1  -7.5 
42 -2 1 -10.5 
42 -3 1  -8.5 
42 -4 1 -10.0 
43 -1 1  -9.5 
44 -1 1  -7.5 
44 -2 1 -11.0 
44 -3 1  -8.0 
44 -4 1 -11.0 
44 -5 1 -10.5 
45 -1 1  -9.0 
46 -1 1  -7.5 
46 -2 1 -10.5 
46 -3 1  -7.0 
46 -4 1 -10.0 
46 -5 1 -10.0 
47 -1 1  -5.0 
48 -1 1  -6.0 
