0	0	0	0.158500
1	0	0	0.180500
2	0	0	0.217500
3	0	0	0.226500
5	0	0	0.265500
6	0	0	0.099500
7	0	0	0.095500
0	1	0	0.322500
1	1	0	0.276500
2	1	0	0.284500
3	1	0	0.312500
5	1	0	0.346500
6	1	0	0.259500
7	1	0	0.230500
0	2	0	0.264500
1	2	0	0.201500
2	2	0	0.244500
3	2	0	0.242500
5	2	0	0.298500
6	2	0	0.229500
7	2	0	0.241500
0	3	0	0.126500
1	3	0	0.111500
2	3	0	0.159500
3	3	0	0.166500
5	3	0	0.216500
6	3	0	0.166500
7	3	0	0.197500
0	4	0	0.132500
1	4	0	0.141500
2	4	0	0.197500
3	4	0	0.297500
5	4	0	0.266500
6	4	0	0.260500
7	4	0	0.264500
0	0	1	0.320500
1	0	1	0.320500
2	0	1	0.252500
3	0	1	0.258500
5	0	1	0.321500
6	0	1	0.231500
7	0	1	0.257500
0	1	1	0.231500
1	1	1	0.240500
2	1	1	0.274500
3	1	1	0.288500
5	1	1	0.348500
6	1	1	0.273500
7	1	1	0.287500
0	2	1	0.200500
1	2	1	0.223500
2	2	1	0.241500
3	2	1	0.306500
5	2	1	0.336500
6	2	1	0.295500
7	2	1	0.263500
0	3	1	0.048500
1	3	1	0.054500
2	3	1	0.122500
3	3	1	0.169500
5	3	1	0.176500
6	3	1	0.108500
7	3	1	0.133500
0	4	1	0.044500
1	4	1	0.041500
2	4	1	0.177500
3	4	1	0.237500
5	4	1	0.210500
6	4	1	0.159500
7	4	1	0.140500
0	0	2	0.418500
1	0	2	0.378500
2	0	2	0.382500
3	0	2	0.364500
5	0	2	0.423500
6	0	2	0.300500
7	0	2	0.261500
0	1	2	0.325500
1	1	2	0.351500
2	1	2	0.325500
3	1	2	0.341500
5	1	2	0.396500
6	1	2	0.295500
7	1	2	0.272500
0	2	2	0.269500
1	2	2	0.302500
2	2	2	0.318500
3	2	2	0.326500
5	2	2	0.375500
6	2	2	0.310500
7	2	2	0.267500
0	3	2	0.063500
1	3	2	0.087500
2	3	2	0.147500
3	3	2	0.191500
5	3	2	0.193500
6	3	2	0.096500
7	3	2	0.143500
0	4	2	0.030500
1	4	2	0.033500
2	4	2	0.110500
3	4	2	0.162500
5	4	2	0.112500
6	4	2	0.055500
7	4	2	0.093500
