197    683    779    BIS3A02  302
198    684    780    BIS3A04  302
199    685    781    BIS3A06  302
200    686    782    BIS3A08  302
201    687    783    BIS3A10  302
202    688    784    BIS3A12  302
203    689    785    BIS3A14  302
204    690    786    BIS3A16  302
38     691    1053   BIS3C02  303
39     692    1054   BIS3C04  303
205    693    58     BIS3C06  303
206    694    59     BIS3C08  303
207    695    60     BIS3C10  303
208    696    61     BIS3C12  303
40     697    1055   BIS3C14  303
41     698    1056   BIS3C16  303
209    699    787    BIS4A02  302
210    700    788    BIS4A04  302
211    701    789    BIS4A06  302
212    702    790    BIS4A08  302
213    703    791    BIS4A10  302
214    704    792    BIS4A12  302
215    705    793    BIS4A14  302
216    706    794    BIS4A16  302
42     707    1057   BIS4C02  303
43     708    1058   BIS4C04  303
217    709    62     BIS4C06  303
218    710    63     BIS4C08  303
219    711    64     BIS4C10  303
220    712    65     BIS4C12  303
44     713    1059   BIS4C14  303
45     714    1060   BIS4C16  303
221    715    795    BIS5A02  302
222    716    796    BIS5A04  302
223    717    797    BIS5A06  302
224    718    798    BIS5A08  302
225    719    799    BIS5A10  302
226    720    800    BIS5A12  302
227    721    801    BIS5A14  302
228    722    802    BIS5A16  302
46     723    1061   BIS5C02  303
47     724    1062   BIS5C04  303
229    725    66     BIS5C06  303
230    726    67     BIS5C08  303
231    727    68     BIS5C10  303
232    728    69     BIS5C12  303
48     729    1063   BIS5C14  303
49     730    1064   BIS5C16  303
233    731    803    BIS6A02  302
234    732    804    BIS6A04  302
235    733    805    BIS6A06  302
236    734    806    BIS6A08  302
237    735    807    BIS6A10  302
238    736    808    BIS6A12  302
239    737    809    BIS6A14  302
240    738    810    BIS6A16  302
50     739    1065   BIS6C02  303
51     740    1066   BIS6C04  303
241    741    70     BIS6C06  303
242    742    71     BIS6C08  303
243    743    72     BIS6C10  303
244    744    73     BIS6C12  303
52     745    1067   BIS6C14  303
53     746    1068   BIS6C16  303
245    10     74     BIS7A02  302
246    11     75     BIS7A04  302
247    12     76     BIS7A06  302
248    13     77     BIS7A08  302
249    14     78     BIS7A10  302
250    15     79     BIS7A12  302
251    16     80     BIS7A14  302
252    17     81     BIS7A16  302
253    18     1069   BIS7C02  303
254    19     1070   BIS7C04  303
255    20     82     BIS7C06  303
256    21     83     BIS7C08  303
257    22     84     BIS7C10  303
258    23     85     BIS7C12  303
259    24     1071   BIS7C14  303
260    25     1072   BIS7C16  303
261    26     86     BIS8A02  302
262    27     87     BIS8A04  302
263    28     88     BIS8A06  302
264    29     89     BIS8A08  302
265    30     90     BIS8A10  302
266    31     91     BIS8A12  302
267    32     92     BIS8A14  302
268    33     93     BIS8A16  302
269    34     1073   BIS8C02  303
270    35     1074   BIS8C04  303
271    36     94     BIS8C06  303
272    37     95     BIS8C08  303
273    38     96     BIS8C10  303
274    39     97     BIS8C12  303
275    40     1075   BIS8C14  303
276    41     1076   BIS8C16  303
277    747    1077   BME4A13  302
278    748    1078   BME4C13  303
277    747    1079   BME5A13  302
278    748    1080   BME5C13  303
279    749    811    BMF1A12  302
280    750    812    BMF1A14  302
281    751    98     BMF1C12  303
