 'A1.01.62'     2   17    7    6.562    4.871
 'A1.01.62'     2   18    6    6.938    4.222
 'A1.01.62'     2   19    5    7.312    3.572
 'A1.01.62'     2   19    7    7.312    4.871
 'A1.02.62'     3   10   10    3.938    6.820
 'A1.02.62'     3    5   11    2.062    7.470
 'A1.02.62'     3    7   11    2.812    7.470
 'A1.02.62'     3    9   11    3.562    7.470
 'A1.05.62'     6  -11   11   -3.938    7.470
 'A1.05.62'     6  -12   10   -4.312    6.820
 'A1.05.62'     6   -7   11   -2.438    7.470
 'A1.05.62'     6   -9   11   -3.188    7.470
 'A1.06.62'     7  -18    6   -6.562    4.222
 'A1.06.62'     7  -19    5   -6.938    3.572
 'A1.06.62'     7  -20    4   -7.312    2.923
 'A1.06.62'     7  -20    6   -7.312    4.222
 'A1.09.62'    10  -18   -8   -6.562   -4.871
 'A1.09.62'    10  -19   -7   -6.938   -4.222
 'A1.09.62'    10  -20   -6   -7.312   -3.572
 'A1.09.62'    10  -20   -8   -7.312   -4.871
 'A1.10.62'    11  -10  -12   -3.562   -7.470
 'A1.10.62'    11  -11  -11   -3.938   -6.820
 'A1.10.62'    11   -6  -12   -2.062   -7.470
 'A1.10.62'    11   -8  -12   -2.812   -7.470
 'A1.13.62'    14   10  -12    3.938   -7.470
 'A1.13.62'    14   11  -11    4.312   -6.820
 'A1.13.62'    14    6  -12    2.438   -7.470
 'A1.13.62'    14    8  -12    3.188   -7.470
 'A1.14.62'    15   17   -7    6.562   -4.222
 'A1.14.62'    15   18   -6    6.938   -3.572
 'A1.14.62'    15   19   -5    7.312   -2.923
 'A1.14.62'    15   19   -7    7.312   -4.222
 'A1.02.61'    19   12   10    4.688    6.820
 'A1.02.61'    19   13    9    5.062    6.170
 'A1.02.61'    19   14    8    5.438    5.521
 'A1.02.61'    19   15    9    5.812    6.170
 'A1.06.61'    23  -15    9   -5.438    6.170
 'A1.06.61'    23  -16    8   -5.812    5.521
 'A1.06.61'    23  -17    7   -6.188    4.871
 'A1.06.61'    23  -19    7   -6.938    4.871
 'A1.10.61'    27  -13  -11   -4.688   -6.820
 'A1.10.61'    27  -14  -10   -5.062   -6.170
 'A1.10.61'    27  -15   -9   -5.438   -5.521
 'A1.10.61'    27  -16  -10   -5.812   -6.170
 'A1.14.61'    31   14  -10    5.438   -6.170
 'A1.14.61'    31   15   -9    5.812   -5.521
 'A1.14.61'    31   16   -8    6.188   -4.871
 'A1.14.61'    31   18   -8    6.938   -4.871
 'A1.02.60'    35   11   11    4.312    7.470
 'A1.02.60'    35   13   11    5.062    7.470
