 'A2.02.03'   216   63   49   25.968   35.062
 'A2.02.03'   216   64   48   26.377   34.354
 'A2.02.03'   216   66   48   27.195   34.354
 'A2.02.03'   216   68   48   28.013   34.354
 'A2.02.04'   217   40   54   16.562   38.604
 'A2.02.04'   217   41   55   16.971   39.312
 'A2.02.04'   217   42   54   17.380   38.604
 'A2.02.04'   217   42   56   17.380   40.020
 'A2.02.04'   217   43   55   17.789   39.312
 'A2.02.04'   217   44   54   18.198   38.604
 'A2.02.05'   218   56   48   23.106   34.354
 'A2.02.05'   218   57   49   23.515   35.062
 'A2.02.05'   218   58   48   23.924   34.354
 'A2.02.05'   218   58   50   23.924   35.770
 'A2.02.05'   218   59   49   24.333   35.062
 'A2.02.05'   218   60   48   24.741   34.354
 'A2.02.06'   219   64   42   26.377   30.104
 'A2.02.06'   219   65   43   26.786   30.812
 'A2.02.06'   219   66   42   27.195   30.104
 'A2.02.06'   219   68   42   28.013   30.104
 'A2.02.06'   219   70   42   28.831   30.104
 'A2.02.06'   219   72   42   29.649   30.104
 'A2.02.06'   220   64   44   26.377   31.520
 'A2.02.06'   220   66   44   27.195   31.520
 'A2.02.06'   220   67   43   27.604   30.812
 'A2.02.06'   220   69   43   28.422   30.812
 'A2.02.06'   220   71   43   29.240   30.812
 'A2.02.06'   220   73   43   30.058   30.812
 'A2.02.06'   221   65   45   26.786   32.229
 'A2.02.06'   221   67   45   27.604   32.229
 'A2.02.06'   221   68   44   28.013   31.520
 'A2.02.06'   221   69   45   28.422   32.229
 'A2.02.06'   221   70   44   28.831   31.520
 'A2.02.06'   221   72   44   29.649   31.520
 'A2.02.06'   222   64   46   26.377   32.937
 'A2.02.06'   222   65   47   26.786   33.645
 'A2.02.06'   222   66   46   27.195   32.937
 'A2.02.06'   222   67   47   27.604   33.645
 'A2.02.06'   222   68   46   28.013   32.937
 'A2.02.06'   222   69   47   28.422   33.645
 'A2.02.07'   223   48   48   19.834   34.354
 'A2.02.07'   223   49   49   20.243   35.062
 'A2.02.07'   223   50   48   20.652   34.354
 'A2.02.07'   223   51   49   21.061   35.062
 'A2.02.07'   223   52   48   21.470   34.354
 'A2.02.07'   223   54   48   22.288   34.354
 'A2.02.07'   224   48   50   19.834   35.770
 'A2.02.07'   224   50   50   20.652   35.770
 'A2.02.07'   224   52   50   21.470   35.770
 'A2.02.07'   224   53   49   21.879   35.062
 'A2.02.07'   224   54   50   22.288   35.770
 'A2.02.07'   224   55   49   22.697   35.062
 'A2.02.07'   225   49   51   20.243   36.479
 'A2.02.07'   225   51   51   21.061   36.479
 'A2.02.07'   225   53   51   21.879   36.479
 'A2.02.07'   225   55   51   22.697   36.479
