ROS-PIX-B-01 	519 	1303 	721 	1.4 	25001.4 	13834.2 	21947.5 	2.34041 	3.25133 	4.4
ROS-PIX-B-00 	521 	1292 	717 	1.4 	24790.3 	13757.5 	22096.0 	2.42013 	3.33058 	4.5
ROS-PIX-B-02 	499 	1208 	656 	1.3 	23178.5 	12587.0 	17725.3 	2.72916 	3.58783 	3.8
ROS-PIX-B-03 	486 	1160 	644 	1.3 	22257.5 	12356.8 	17190.1 	2.65171 	3.51378 	3.9
ROS-PIX-B-05 	469 	1139 	625 	1.3 	21854.6 	11992.2 	19888.9 	2.25966 	3.01127 	4.6
ROS-PIX-BL-01 	464 	1166 	608 	1.3 	22372.7 	11666.0 	16336.4 	2.52644 	3.31051 	4.9
ROS-TDQ-MUCTPI-00 	606 	606 	606 	1.0 	11627.6 	11627.6 	1205.0 	1.24598 	1.24598 	1.0
ROS-SCT-BA-01 	447 	1095 	601 	1.3 	21010.3 	11531.7 	24408.1 	2.51371 	3.37973 	3.9
ROS-PIX-B-04 	447 	1064 	595 	1.3 	20415.5 	11416.6 	19666.2 	2.29261 	3.05169 	4.7
ROS-TIL-LBC-00 	506 	1830 	589 	1.2 	35113.2 	11301.5 	39134.7 	4.16125 	4.84382 	2.2
ROS-SCT-BA-00 	433 	1042 	580 	1.3 	19993.4 	11128.8 	25313.7 	2.54418 	3.40791 	4.0
ROS-TIL-LBA-00 	510 	1810 	579 	1.1 	34729.4 	11109.6 	39482.0 	3.95565 	4.49083 	2.3
ROS-PIX-BL-03 	443 	1079 	578 	1.3 	20703.3 	11090.4 	15876.9 	2.66749 	3.48038 	4.8
ROS-LAR-HECC-00 	489 	4240 	577 	1.2 	81355.1 	11071.2 	23794.4 	3.36562 	3.97129 	2.4
ROS-SCT-BC-00 	437 	1057 	577 	1.3 	20281.2 	11071.2 	25801.8 	2.43262 	3.21194 	4.1
ROS-TIL-LBC-01 	489 	1833 	559 	1.1 	35170.7 	10725.8 	39033.4 	3.99738 	4.5696 	2.3
ROS-PIX-BL-00 	436 	988 	557 	1.3 	18957.3 	10687.5 	15103.3 	2.45988 	3.14256 	4.8
ROS-SCT-BC-01 	419 	1010 	555 	1.3 	19379.4 	10649.1 	24012.9 	2.44492 	3.2385 	4.0
ROS-LAR-HECA-00 	459 	4089 	553 	1.2 	78457.8 	10610.7 	22839.6 	3.08637 	3.71844 	2.4
ROS-TIL-LBA-01 	487 	1751 	548 	1.1 	33597.4 	10514.8 	36897.6 	3.82515 	4.30427 	2.3
ROS-PIX-BL-02 	437 	999 	539 	1.2 	19168.3 	10342.1 	14698.3 	2.34488 	2.89219 	4.7
ROS-SCT-ECA-01 	333 	791 	435 	1.3 	15177.3 	8346.6 	21126.1 	2.53341 	3.30941 	5.3
ROS-TGC-ECA-00 	328 	1048 	423 	1.3 	20108.5 	8116.3 	2399.5 	1.43036 	1.84464 	1.0
ROS-TIL-EBC-00 	372 	1371 	421 	1.1 	26306.1 	8078.0 	28724.9 	4.02765 	4.55818 	2.3
ROS-SCT-ECA-00 	345 	800 	419 	1.2 	15350.0 	8039.6 	20593.5 	2.57431 	3.12648 	5.0
