Towers  0 - 15 eta 1 side A ID 61  # MDT barrel A-side (Sub-detector ID = 0x61)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------

#   "eta 1"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   28 || BIS5A02 BIS6A02 BMS5A02 BMS6A02 BOS5A02 BOS6A02    -       -    |  1
   29 || BIS5A04 BIS6A04 BMS5A04 BMS6A04 BOS5A04 BOS6A04    -       -    |  1
   2A || BIS5A06 BIS6A06 BMS5A06 BMS6A06 BOS5A06 BOS6A06    -       -    |  2
   2B || BIS5A08 BIS6A08 BMS5A08 BMS6A08 BOS5A08 BOS6A08    -       -    |  2
   2C || BIS5A10 BIS6A10 BMS5A10 BMS6A10 BOS5A10 BOS6A10    -       -    |  3
   2D || BIS5A12 BIS6A12 BMF3A12 BOF4A12 BOG3A12 BOG4A12    -       -    |  3
   2E || BIS5A14 BIS6A14 BMF3A14 BOF4A14 BOG3A14 BOG4A14    -       -    |  4
   2F || BIS5A16 BIS6A16 BMS5A16 BMS6A16 BOS5A16 BOS6A16    -       -    |  4

#   extra towers   
   30 || BIM1A11 BIM2A11 BIM3A11 BIM4A11 BIM5A11    -       -       -    |  7
   31 || BIM1A15 BIM2A15 BIM3A15 BIM4A15 BIM5A15    -       -       -    |  8

}


Towers  0 - 15 eta 1 side C ID 62  # MDT barrel C-side (Sub-detector ID = 0x62)
{
#------------------------------------------------------------------------------
#ModID||                   MDT chambers / CSM links                      |MROD
#tower||    1   |   2   |   3   |   4   |   5   |   6   |   7   |   8    |crate
#------------------------------------------------------------------------------
#   "eta 1"  -  Large chambers in sectors 1,3,5,7,9,11,13,15

   00 || BIL1C01 BIL2C01 BML1C01 BML2C01 BOL1C01 BOL2C01    -       -    |  5
   01 || BIL1C03 BIL2C03 BML1C03 BML2C03 BOL1C03 BOL2C03    -       -    |  5
   02 || BIL1C05 BIL2C05 BML1C05 BML2C05 BOL1C05 BOL2C05    -       -    |  6
   03 || BIL1C07 BIL2C07 BML1C07 BML2C07 BOL1C07 BOL2C07    -       -    |  6
   04 || BIL1C09 BIL2C09 BML1C09 BML2C09 BOL1C09 BOL2C09    -       -    |  7
   05 || BIR1C11 BIR2C11 BML1C11 BML2C11 BOL1C11 BOL2C11    -       -    |  7
   06 || BIL1C13 BIL2C13 BML1C13 BML2C13 BOL1C13 BOL2C13    -       -    |  8
   07 || BIR1C15 BIR2C15 BML1C15 BML2C15 BOL1C15 BOL2C15    -       -    |  8

#   "eta 1"  -  Small chambers in sectors 2,4,6,8,10,12,14,16

   08 || BIS1C02 BIS2C02 BMS1C02 BMS2C02 BOS1C02 BOS2C02    -       -    |  5
   09 || BIS1C04 BIS2C04 BMS1C04 BMS2C04 BOS1C04 BOS2C04    -       -    |  5
