# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
ROD_C0_S15	RODBOC	AA	D1C_B01_S1_OB	OPTOBOARD	UP
ROD_C1_S21	RODBOC	DD	L2_B25_S1_C7_OB	OPTOBOARD	UP
ROD_C1_S12	RODBOC	AAD	L2_B25_S2_C6_OB	OPTOBOARD	UP
ROD_C0_S20	RODBOC	AA	L2_B26_S1_C7_OB	OPTOBOARD	UP
ROD_C0_S20	RODBOC	BB	L2_B26_S2_C6_OB	OPTOBOARD	UP
					
					
L0_B12_S1_A6_OB	OPTOBOARD	PP0	L0_B12_S1_A6	PP0	OB
L0_B12_S1_C7_OB	OPTOBOARD	PP0	L0_B12_S1_C7	PP0	OB
L0_B12_S2_A7_OB	OPTOBOARD	PP0	L0_B12_S2_A7	PP0	OB
L0_B12_S2_C6_OB	OPTOBOARD	PP0	L0_B12_S2_C6	PP0	OB
L2_B27_S1_A6_OB	OPTOBOARD	PP0	L2_B27_S1_A6	PP0	OB
L2_B27_S1_C7_OB	OPTOBOARD	PP0	L2_B27_S1_C7	PP0	OB
L2_B27_S2_A7_OB	OPTOBOARD	PP0	L2_B27_S2_A7	PP0	OB
L2_B27_S2_C6_OB	OPTOBOARD	PP0	L2_B27_S2_C6	PP0	OB
L2_B99_S1_A6_OB	OPTOBOARD	PP0	L2_B99_S1_A6	PP0	OB
L2_B99_S1_C7_OB	OPTOBOARD	PP0	L2_B99_S1_C7	PP0	OB
L2_B99_S2_A7_OB	OPTOBOARD	PP0	L2_B99_S2_A7	PP0	OB
L2_B99_S2_C6_OB	OPTOBOARD	PP0	L2_B99_S2_C6	PP0	OB
D1A_B05_S1_OB	OPTOBOARD	PP0	D1A_B05_S1	PP0	OB
D1A_B05_S2_OB	OPTOBOARD	PP0	D1A_B05_S2	PP0	OB
					
					
L0_B12_S1_A6	PP0	M1	L0_B12_S1_A6_M1A	MODULE	UP
L0_B12_S1_A6	PP0	M2	L0_B12_S1_A6_M2A	MODULE	UP
L0_B12_S1_A6	PP0	M3	L0_B12_S1_A6_M3A	MODULE	UP
L0_B12_S1_A6	PP0	M4	L0_B12_S1_A6_M4A	MODULE	UP
L0_B12_S1_A6	PP0	M5	L0_B12_S1_A6_M5A	MODULE	UP
L0_B12_S1_A6	PP0	M6	L0_B12_S1_A6_M6A	MODULE	UP
L0_B12_S1_C7	PP0	M1	L0_B12_S1_C7_M0	MODULE	UP
L0_B12_S1_C7	PP0	M2	L0_B12_S1_C7_M1C	MODULE	UP
L0_B12_S1_C7	PP0	M3	L0_B12_S1_C7_M2C	MODULE	UP
L0_B12_S1_C7	PP0	M4	L0_B12_S1_C7_M3C	MODULE	UP
L0_B12_S1_C7	PP0	M5	L0_B12_S1_C7_M4C	MODULE	UP
L0_B12_S1_C7	PP0	M6	L0_B12_S1_C7_M5C	MODULE	UP
L0_B12_S1_C7	PP0	M7	L0_B12_S1_C7_M6C	MODULE	UP
L0_B12_S2_A7	PP0	M1	L0_B12_S2_A7_M0	MODULE	UP
L0_B12_S2_A7	PP0	M2	L0_B12_S2_A7_M1A	MODULE	UP
L0_B12_S2_A7	PP0	M3	L0_B12_S2_A7_M2A	MODULE	UP
L0_B12_S2_A7	PP0	M4	L0_B12_S2_A7_M3A	MODULE	UP
L0_B12_S2_A7	PP0	M5	L0_B12_S2_A7_M4A	MODULE	UP
L0_B12_S2_A7	PP0	M6	L0_B12_S2_A7_M5A	MODULE	UP
L0_B12_S2_A7	PP0	M7	L0_B12_S2_A7_M6A	MODULE	UP
L0_B12_S2_C6	PP0	M1	L0_B12_S2_C6_M1C	MODULE	UP
L0_B12_S2_C6	PP0	M2	L0_B12_S2_C6_M2C	MODULE	UP
L0_B12_S2_C6	PP0	M3	L0_B12_S2_C6_M3C	MODULE	UP
L0_B12_S2_C6	PP0	M4	L0_B12_S2_C6_M4C	MODULE	UP
L0_B12_S2_C6	PP0	M5	L0_B12_S2_C6_M5C	MODULE	UP
L0_B12_S2_C6	PP0	M6	L0_B12_S2_C6_M6C	MODULE	UP
L2_B27_S1_A6	PP0	M1	L2_B27_S1_A6_M1A	MODULE	UP
L2_B27_S1_A6	PP0	M2	L2_B27_S1_A6_M2A	MODULE	UP
L2_B27_S1_A6	PP0	M3	L2_B27_S1_A6_M3A	MODULE	UP
L2_B27_S1_A6	PP0	M4	L2_B27_S1_A6_M4A	MODULE	UP
L2_B27_S1_A6	PP0	M5	L2_B27_S1_A6_M5A	MODULE	UP
L2_B27_S1_A6	PP0	M6	L2_B27_S1_A6_M6A	MODULE	UP
L2_B27_S1_C7	PP0	M1	L2_B27_S1_C7_M0	MODULE	UP
L2_B27_S1_C7	PP0	M2	L2_B27_S1_C7_M1C	MODULE	UP
L2_B27_S1_C7	PP0	M3	L2_B27_S1_C7_M2C	MODULE	UP
L2_B27_S1_C7	PP0	M4	L2_B27_S1_C7_M3C	MODULE	UP
L2_B27_S1_C7	PP0	M5	L2_B27_S1_C7_M4C	MODULE	UP
L2_B27_S1_C7	PP0	M6	L2_B27_S1_C7_M5C	MODULE	UP
L2_B27_S1_C7	PP0	M7	L2_B27_S1_C7_M6C	MODULE	UP
L2_B27_S2_A7	PP0	M1	L2_B27_S2_A7_M0	MODULE	UP
L2_B27_S2_A7	PP0	M2	L2_B27_S2_A7_M1A	MODULE	UP
L2_B27_S2_A7	PP0	M3	L2_B27_S2_A7_M2A	MODULE	UP
L2_B27_S2_A7	PP0	M4	L2_B27_S2_A7_M3A	MODULE	UP
L2_B27_S2_A7	PP0	M5	L2_B27_S2_A7_M4A	MODULE	UP
L2_B27_S2_A7	PP0	M6	L2_B27_S2_A7_M5A	MODULE	UP
L2_B27_S2_A7	PP0	M7	L2_B27_S2_A7_M6A	MODULE	UP
L2_B27_S2_C6	PP0	M1	L2_B27_S2_C6_M1C	MODULE	UP
L2_B27_S2_C6	PP0	M2	L2_B27_S2_C6_M2C	MODULE	UP
L2_B27_S2_C6	PP0	M3	L2_B27_S2_C6_M3C	MODULE	UP
L2_B27_S2_C6	PP0	M4	L2_B27_S2_C6_M4C	MODULE	UP
L2_B27_S2_C6	PP0	M5	L2_B27_S2_C6_M5C	MODULE	UP
L2_B27_S2_C6	PP0	M6	L2_B27_S2_C6_M6C	MODULE	UP
L2_B99_S1_A6	PP0	M1	L2_B99_S1_A6_M1A	MODULE	UP
L2_B99_S1_A6	PP0	M2	L2_B99_S1_A6_M2A	MODULE	UP
L2_B99_S1_A6	PP0	M3	L2_B99_S1_A6_M3A	MODULE	UP
L2_B99_S1_A6	PP0	M4	L2_B99_S1_A6_M4A	MODULE	UP
L2_B99_S1_A6	PP0	M5	L2_B99_S1_A6_M5A	MODULE	UP
L2_B99_S1_A6	PP0	M6	L2_B99_S1_A6_M6A	MODULE	UP
L2_B99_S1_C7	PP0	M1	L2_B99_S1_C7_M0	MODULE	UP
L2_B99_S1_C7	PP0	M2	L2_B99_S1_C7_M1C	MODULE	UP
L2_B99_S1_C7	PP0	M3	L2_B99_S1_C7_M2C	MODULE	UP
L2_B99_S1_C7	PP0	M4	L2_B99_S1_C7_M3C	MODULE	UP
L2_B99_S1_C7	PP0	M5	L2_B99_S1_C7_M4C	MODULE	UP
L2_B99_S1_C7	PP0	M6	L2_B99_S1_C7_M5C	MODULE	UP
L2_B99_S1_C7	PP0	M7	L2_B99_S1_C7_M6C	MODULE	UP
L2_B99_S2_A7	PP0	M1	L2_B99_S2_A7_M0	MODULE	UP
L2_B99_S2_A7	PP0	M2	L2_B99_S2_A7_M1A	MODULE	UP
L2_B99_S2_A7	PP0	M3	L2_B99_S2_A7_M2A	MODULE	UP
L2_B99_S2_A7	PP0	M4	L2_B99_S2_A7_M3A	MODULE	UP
L2_B99_S2_A7	PP0	M5	L2_B99_S2_A7_M4A	MODULE	UP
L2_B99_S2_A7	PP0	M6	L2_B99_S2_A7_M5A	MODULE	UP
L2_B99_S2_A7	PP0	M7	L2_B99_S2_A7_M6A	MODULE	UP
L2_B99_S2_C6	PP0	M1	L2_B99_S2_C6_M1C	MODULE	UP
L2_B99_S2_C6	PP0	M2	L2_B99_S2_C6_M2C	MODULE	UP
L2_B99_S2_C6	PP0	M3	L2_B99_S2_C6_M3C	MODULE	UP
L2_B99_S2_C6	PP0	M4	L2_B99_S2_C6_M4C	MODULE	UP
L2_B99_S2_C6	PP0	M5	L2_B99_S2_C6_M5C	MODULE	UP
L2_B99_S2_C6	PP0	M6	L2_B99_S2_C6_M6C	MODULE	UP
D1A_B05_S1	PP0	M5	D1A_B05_S1_M1	MODULE	UP
D1A_B05_S1	PP0	M1	D1A_B05_S1_M2	MODULE	UP
D1A_B05_S1	PP0	M3	D1A_B05_S1_M3	MODULE	UP
D1A_B05_S1	PP0	M6	D1A_B05_S1_M4	MODULE	UP
D1A_B05_S1	PP0	M2	D1A_B05_S1_M5	MODULE	UP
D1A_B05_S1	PP0	M4	D1A_B05_S1_M6	MODULE	UP
D1A_B05_S2	PP0	M5	D1A_B05_S2_M1	MODULE	UP
D1A_B05_S2	PP0	M1	D1A_B05_S2_M2	MODULE	UP
D1A_B05_S2	PP0	M3	D1A_B05_S2_M3	MODULE	UP
D1A_B05_S2	PP0	M6	D1A_B05_S2_M4	MODULE	UP
D1A_B05_S2	PP0	M2	D1A_B05_S2_M5	MODULE	UP
D1A_B05_S2	PP0	M4	D1A_B05_S2_M6	MODULE	UP
					
					
Y1406S1_LV01/Output/Channel/0	LV-PS	VDD2	Y1406S1_LV_PP4_01A.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV01/Output/Channel/1	LV-PS	VDDA2	Y1406S1_LV_PP4_01A.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV01/Output/Channel/2	LV-PS	VDD2	Y1406S1_LV_PP4_01A.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV01/Output/Channel/3	LV-PS	VDDA2	Y1406S1_LV_PP4_01A.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV01/Output/Channel/4	LV-PS	VDD2	Y1406S1_LV_PP4_01B.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV01/Output/Channel/5	LV-PS	VDDA2	Y1406S1_LV_PP4_01B.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV01/Output/Channel/6	LV-PS	VDD2	Y1406S1_LV_PP4_01B.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV01/Output/Channel/7	LV-PS	VDDA2	Y1406S1_LV_PP4_01B.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV01/Output/Channel/8	LV-PS	VDD2	Y1406S1_LV_PP4_01C.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV01/Output/Channel/9	LV-PS	VDDA2	Y1406S1_LV_PP4_01C.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV01/Output/Channel/10	LV-PS	VDD2	Y1406S1_LV_PP4_01C.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV01/Output/Channel/11	LV-PS	VDDA2	Y1406S1_LV_PP4_01C.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV02/Output/Channel/0	LV-PS	VDD2	Y1406S1_LV_PP4_02A.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV02/Output/Channel/1	LV-PS	VDDA2	Y1406S1_LV_PP4_02A.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV02/Output/Channel/2	LV-PS	VDD2	Y1406S1_LV_PP4_02A.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV02/Output/Channel/3	LV-PS	VDDA2	Y1406S1_LV_PP4_02A.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV02/Output/Channel/4	LV-PS	VDD2	Y1406S1_LV_PP4_02B.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV02/Output/Channel/5	LV-PS	VDDA2	Y1406S1_LV_PP4_02B.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV02/Output/Channel/6	LV-PS	VDD2	Y1406S1_LV_PP4_02B.WienerCh3	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV02/Output/Channel/7	LV-PS	VDDA2	Y1406S1_LV_PP4_02B.WienerCh4	LV-PP4	LV-PS-PP4VDDAp
Y1406S1_LV02/Output/Channel/8	LV-PS	VDD2	Y1406S1_LV_PP4_02C.WienerCh1	LV-PP4	LV-PS-PP4VDDp
Y1406S1_LV02/Output/Channel/9	LV-PS	VDDA2	Y1406S1_LV_PP4_02C.WienerCh2	LV-PP4	LV-PS-PP4VDDAp
