# $Id: connectivity_table_C6_OSP_v4.dat,v 1.1 2007-05-10 19:13:26 jarguin Exp $					
# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
ROD_CRATE_0	RODCRATE	SLOT_1	PIXRCC04	SBC	UP
ROD_CRATE_1	RODCRATE	SLOT_1	PIXRCC03	SBC	UP
					
					
ROD_CRATE_0	RODCRATE	SLOT_13	TIM_C0	TIM	UP
ROD_CRATE_1	RODCRATE	SLOT_13	TIM_C1	TIM	UP
					
ROD_C1_S20	RODBOC	DA	SpareOptoboardC56_2	OPTOBOARD	UP
ROD_C1_S19	RODBOC	AD	L2_B17_S2_C6_OB	OPTOBOARD	UP
ROD_C1_S20	RODBOC	AD	L2_B18_S1_C7_OB	OPTOBOARD	UP
ROD_C1_S19	RODBOC	DA	L2_B18_S2_C6_OB	OPTOBOARD	UP
ROD_C1_S6	RODBOC	AD	D3C_B04_S1_OB	OPTOBOARD	UP
ROD_C1_S8	RODBOC	AAD	L0_B07_S2_C6_OB	OPTOBOARD	UP
ROD_C1_S5	RODBOC	AAD	L0_B08_S1_C7_OB	OPTOBOARD	UP
ROD_C1_S7	RODBOC	ADA	L0_B08_S2_C6_OB	OPTOBOARD	UP
ROD_C1_S15	RODBOC	CC	L2_B19_S1_C7_OB	OPTOBOARD	UP
ROD_C1_S15	RODBOC	DD	L2_B19_S2_C6_OB	OPTOBOARD	UP
ROD_C1_S17	RODBOC	AA	L2_B20_S1_C7_OB	OPTOBOARD	UP
ROD_C1_S17	RODBOC	DD	D1C_B04_S1_OB	OPTOBOARD	UP
					
					
L2_B17_S2_C6_OB	OPTOBOARD	PP0	L2_B17_S2_C6	PP0	OB
L2_B18_S1_C7_OB	OPTOBOARD	PP0	L2_B18_S1_C7	PP0	OB
L2_B18_S2_C6_OB	OPTOBOARD	PP0	L2_B18_S2_C6	PP0	OB
D3C_B04_S1_OB	OPTOBOARD	PP0	D3C_B04_S1	PP0	OB
L0_B07_S2_C6_OB	OPTOBOARD	PP0	L0_B07_S2_C6	PP0	OB
L0_B08_S1_C7_OB	OPTOBOARD	PP0	L0_B08_S1_C7	PP0	OB
L0_B08_S2_C6_OB	OPTOBOARD	PP0	L0_B08_S2_C6	PP0	OB
L2_B19_S1_C7_OB	OPTOBOARD	PP0	L2_B19_S1_C7	PP0	OB
L2_B19_S2_C6_OB	OPTOBOARD	PP0	L2_B19_S2_C6	PP0	OB
L2_B20_S1_C7_OB	OPTOBOARD	PP0	L2_B20_S1_C7	PP0	OB
D1C_B04_S1_OB	OPTOBOARD	PP0	D1C_B04_S1	PP0	OB
					
					
					
					
L2_B17_S2_C6	PP0	M6	L2_B17_S2_C6_M1C	MODULE	UP
L2_B17_S2_C6	PP0	M5	L2_B17_S2_C6_M2C	MODULE	UP
L2_B17_S2_C6	PP0	M4	L2_B17_S2_C6_M3C	MODULE	UP
L2_B17_S2_C6	PP0	M3	L2_B17_S2_C6_M4C	MODULE	UP
L2_B17_S2_C6	PP0	M2	L2_B17_S2_C6_M5C	MODULE	UP
L2_B17_S2_C6	PP0	M1	L2_B17_S2_C6_M6C	MODULE	UP
L2_B18_S1_C7	PP0	M1	L2_B18_S1_C7_M0	MODULE	UP
L2_B18_S1_C7	PP0	M2	L2_B18_S1_C7_M1C	MODULE	UP
L2_B18_S1_C7	PP0	M3	L2_B18_S1_C7_M2C	MODULE	UP
L2_B18_S1_C7	PP0	M4	L2_B18_S1_C7_M3C	MODULE	UP
L2_B18_S1_C7	PP0	M5	L2_B18_S1_C7_M4C	MODULE	UP
