# $Id: aliases_toothpix_v1.dat,v 1.1 2007-08-31 15:21:25 lmasetti Exp $		
# ALIAS	     CONVENTION	ID
#		
Y1006S1_SCO1A	DCSID	SCOL_1A
Y1006S1_SCO1B	DCSID	SCOL_1B
Y1006S1_SCO1C	DCSID	SCOL_1C
Y1006S1_SCO1D	DCSID	SCOL_1D
#		
#		
Y1406S1_LV_PP4_01A	DCSID	LV_PP4_1
Y1406S1_LV_PP4_01B	DCSID	LV_PP4_2
Y1406S1_LV_PP4_01C	DCSID	LV_PP4_3
Y1406S1_LV_PP4_02A	DCSID	LV_PP4_4
Y1406S1_LV_PP4_02B	DCSID	LV_PP4_5
Y1406S1_LV_PP4_02C	DCSID	LV_PP4_6
Y1406S1_LV_PP4_04A	DCSID	LV_PP4_10
Y1406S1_LV_PP4_04B	DCSID	LV_PP4_11
#		
#		
Y1406S1	DCSID	4Y.14-06=SR1.U20
#		
#		
Y1206S1	DCSID	4Y-12-06/1
#		
#RODIDs		
0x120007	OFFLINEID	ROD-C0-S7
0x120008	OFFLINEID	ROD-C0-S8
0x120009	OFFLINEID	ROD-C0-S9
0x120010	OFFLINEID	ROD-C0-S10
0x120109	OFFLINEID	ROD-C1-S9
0x120110	OFFLINEID	ROD-C1-S10
0x120111	OFFLINEID	ROD-C1-S11
0x120115	OFFLINEID	ROD-C1-S15
#		
#ROBIDs (FIXME: have to be reviewed)		
#0x120007	OFFLINEID	ROB-C0-S7
#0x120008	OFFLINEID	ROB-C0-S8
#0x120009	OFFLINEID	ROB-C0-S9
#0x120010	OFFLINEID	ROB-C0-S10
#0x120109	OFFLINEID	ROB-C1-S9
#0x120110	OFFLINEID	ROB-C1-S10
#0x120111	OFFLINEID	ROB-C1-S11
#0x120115	OFFLINEID	ROB-C1-S15
#		
#		
OB-SN-3015	PRODID	L0_B12_S2_C6_OB
OB-SN-1095	PRODID	L0_B12_S1_C7_OB
OB-SN-2031	PRODID	L2_B27_S1_C7_OB
OB-SN-2091	PRODID	L2_B99_S1_C7_OB
OB-SN-2088	PRODID	L2_B99_S2_C6_OB
OB-SN-3016	PRODID	L2_B27_S2_C6_OB
OB-SN-2063	PRODID	D1A_B05_S1_OB
OB-SN-1096	PRODID	L0_B12_S2_A7_OB
OB-SN-2011	PRODID	D1A_B05_S2_OB
OB-SN-3089	PRODID	L0_B12_S1_A6_OB
OB-SN-3046	PRODID	L2_B27_S2_A7_OB
OB-SN-3044	PRODID	L2_B27_S1_A6_OB
OB-SN-3078	PRODID	L2_B99_S2_A7_OB
OB-SN-3067	PRODID	L2_B99_S1_A6_OB
#		
#		
SQP-A90-OP-A0-P5L-B	GEOID	L2_B99_S1_A6
SQP-A90-OP-A0-P5L-T	GEOID	L2_B99_S1_C7
SQP-A90-OP-A0-P6L-B	GEOID	L2_B99_S2_C6
SQP-A90-OP-A0-P6L-T	GEOID	L2_B99_S2_A7
SQP-A90-OP-A9-P1R-T	GEOID	D1A_B05_S1
SQP-A90-OP-A9-P2R-T	GEOID	D1A_B05_S2
SQP-A90-OP-A9-P3R-B	GEOID	L0_B12_S2_C6
SQP-A90-OP-A9-P3R-T	GEOID	L0_B12_S2_A7
SQP-A90-OP-A9-P4R-B	GEOID	L0_B12_S1_A6
SQP-A90-OP-A9-P4R-T	GEOID	L0_B12_S1_C7
SQP-A90-OP-A9-P5R-B	GEOID	L2_B27_S2_C6
SQP-A90-OP-A9-P5R-T	GEOID	L2_B27_S2_A7
SQP-A90-OP-A9-P6R-B	GEOID	L2_B27_S1_A6
SQP-A90-OP-A9-P6R-T	GEOID	L2_B27_S1_C7
		
BBIM01A_A10	CRID	Y1106S1_BBIM01A.Ibox1.Temp0-5
BBIM01B_B20	CRID	Y1106S1_BBIM01B.Ibox2.Temp0-5
BBIM01B_B17	CRID	Y1106S1_BBIM01B.Ibox1.Temp7-c
BBIM01A_A37	CRID	Y1106S1_BBIM01A.Ibox3.Temp7-c
BBIM01C_C00	CRID	Y1106S1_BBIM01C.Ibox0.Temp0-5
BBIM01A_A00	CRID	Y1106S1_BBIM01A.Ibox0.Temp0-5
BBIM01B_B00	CRID	Y1106S1_BBIM01B.Ibox0.Temp0-5
BBIM01B_B27	CRID	Y1106S1_BBIM01B.Ibox2.Temp7-c
BBIM01B_B07	CRID	Y1106S1_BBIM01B.Ibox0.Temp7-c
BBIM01A_A07	CRID	Y1106S1_BBIM01A.Ibox0.Temp7-c
BBIM01B_B30	CRID	Y1106S1_BBIM01B.Ibox3.Temp0-5
BBIM01A_A30	CRID	Y1106S1_BBIM01A.Ibox3.Temp0-5
BBIM01B_B10	CRID	Y1106S1_BBIM01B.Ibox1.Temp0-5
BBIM01A_A17	CRID	Y1106S1_BBIM01A.Ibox1.Temp7-c
BBIM01B_B37	CRID	Y1106S1_BBIM01B.Ibox3.Temp7-c
BBIM01C_C07	CRID	Y1106S1_BBIM01C.Ibox0.Temp7-c
BBIM02A_A02	CRID	Y1106S1_BBIM02A.Ibox0.Temp2
BBIM01A_A2B	CRID	Y1106S1_BBIM01A.Ibox2.Tempb
BBIM01A_A2A	CRID	Y1106S1_BBIM01A.Ibox2.Tempa
BBIM02A_A05	CRID	Y1106S1_BBIM02A.Ibox0.Temp5
BBIM02A_A09	CRID	Y1106S1_BBIM02A.Ibox0.Temp9
BBIM02A_A00	CRID	Y1106S1_BBIM02A.Ibox0.Temp0
BBIM01A_A27	CRID	Y1106S1_BBIM01A.Ibox2.Temp7
BBIM01A_A2C	CRID	Y1106S1_BBIM01A.Ibox2.Tempc
BBIM01A_A28	CRID	Y1106S1_BBIM01A.Ibox2.Temp8
BBIM02A_A01	CRID	Y1106S1_BBIM02A.Ibox0.Temp1
BBIM02A_A07	CRID	Y1106S1_BBIM02A.Ibox0.Temp7
BBIM02A_A04	CRID	Y1106S1_BBIM02A.Ibox0.Temp4
BBIM01A_A29	CRID	Y1106S1_BBIM01A.Ibox2.Temp9
BBIM02A_A03	CRID	Y1106S1_BBIM02A.Ibox0.Temp3
BBIM02A_A08	CRID	Y1106S1_BBIM02A.Ibox0.Temp8
BBIM02A_A0A	CRID	Y1106S1_BBIM02A.Ibox0.Tempa
