# $Id: connectivity_table_A34_ISP_v33.dat,v 1.1 2007-03-22 13:44:42 jarguin Exp $					
# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
L1_B06_S1_A6_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	L1_B06_S1_A6_OB
L1_B06_S2_A7_OB	OPTOBOARD	LINK_MAP	D_TYPE	OBLINKMAP	L1_B06_S2_A7_OB
					
					
ROD_CRATE_0	RODCRATE	SLOT_1	PIXRCC04	SBC	UP
					
					
ROD_CRATE_0	RODCRATE	SLOT_13	TIM_C0	TIM	UP
					
					
ROD_C0_S7	RODBOC	DD	D2A_B02_S2_OB	OPTOBOARD	UP
ROD_C0_S7	RODBOC	AA	L1_B07_S1_A6_OB	OPTOBOARD	UP
ROD_C0_S8	RODBOC	DD	L1_B06_S2_A7_OB	OPTOBOARD	UP
ROD_C0_S8	RODBOC	AA	L1_B06_S1_A6_OB	OPTOBOARD	UP
ROD_C0_S9	RODBOC	DD	L1_B09_S1_A6_OB	OPTOBOARD	UP
ROD_C0_S9	RODBOC	AA	D2A_B03_S1_OB	OPTOBOARD	UP
ROD_C0_S10	RODBOC	DD	L1_B10_S1_A6_OB	OPTOBOARD	UP
ROD_C0_S10	RODBOC	AA	L1_B09_S2_A7_OB	OPTOBOARD	UP
ROD_C0_S12	RODBOC	DD	SpareOptoboard	OPTOBOARD	UP
ROD_C0_S12	RODBOC	AA	L1_B08_S2_A7_OB	OPTOBOARD	UP
ROD_C0_S14	RODBOC	DD	L1_B07_S2_A7_OB	OPTOBOARD	UP
ROD_C0_S14	RODBOC	AA	L1_B08_S1_A6_OB	OPTOBOARD	UP
					
					
D2A_B02_S2_OB	OPTOBOARD	PP0	D2A_B02_S2	PP0	OB
L1_B07_S1_A6_OB	OPTOBOARD	PP0	L1_B07_S1_A6	PP0	OB
L1_B06_S2_A7_OB	OPTOBOARD	PP0	L1_B06_S2_A7	PP0	OB
L1_B06_S1_A6_OB	OPTOBOARD	PP0	L1_B06_S1_A6	PP0	OB
L1_B09_S1_A6_OB	OPTOBOARD	PP0	L1_B09_S1_A6	PP0	OB
D2A_B03_S1_OB	OPTOBOARD	PP0	D2A_B03_S1	PP0	OB
L1_B10_S1_A6_OB	OPTOBOARD	PP0	L1_B10_S1_A6	PP0	OB
L1_B09_S2_A7_OB	OPTOBOARD	PP0	L1_B09_S2_A7	PP0	OB
L1_B08_S2_A7_OB	OPTOBOARD	PP0	L1_B08_S2_A7	PP0	OB
L1_B07_S2_A7_OB	OPTOBOARD	PP0	L1_B07_S2_A7	PP0	OB
L1_B08_S1_A6_OB	OPTOBOARD	PP0	L1_B08_S1_A6	PP0	OB
					
					
L1_B08_S2_A7	PP0	M1	L1_B08_S2_A7_M0	MODULE	UP
L1_B08_S2_A7	PP0	M2	L1_B08_S2_A7_M1A	MODULE	UP
L1_B08_S2_A7	PP0	M3	L1_B08_S2_A7_M2A	MODULE	UP
L1_B08_S2_A7	PP0	M4	L1_B08_S2_A7_M3A	MODULE	UP
L1_B08_S2_A7	PP0	M5	L1_B08_S2_A7_M4A	MODULE	UP
L1_B08_S2_A7	PP0	M6	L1_B08_S2_A7_M5A	MODULE	UP
L1_B08_S2_A7	PP0	M7	L1_B08_S2_A7_M6A	MODULE	UP
					
					
					
					
					
					
D2A_B03_S1	PP0	M3	D2A_B03_S1_M1	MODULE	UP
D2A_B03_S1	PP0	M7	D2A_B03_S1_M2	MODULE	UP
D2A_B03_S1	PP0	M5	D2A_B03_S1_M3	MODULE	UP
D2A_B03_S1	PP0	M2	D2A_B03_S1_M4	MODULE	UP
D2A_B03_S1	PP0	M6	D2A_B03_S1_M5	MODULE	UP
D2A_B03_S1	PP0	M4	D2A_B03_S1_M6	MODULE	UP
					
L1_B09_S1_A6	PP0	M2	L1_B09_S1_A6_M1A	MODULE	UP
L1_B09_S1_A6	PP0	M3	L1_B09_S1_A6_M2A	MODULE	UP
L1_B09_S1_A6	PP0	M4	L1_B09_S1_A6_M3A	MODULE	UP
L1_B09_S1_A6	PP0	M5	L1_B09_S1_A6_M4A	MODULE	UP
L1_B09_S1_A6	PP0	M6	L1_B09_S1_A6_M5A	MODULE	UP
L1_B09_S1_A6	PP0	M7	L1_B09_S1_A6_M6A	MODULE	UP
L1_B09_S2_A7	PP0	M1	L1_B09_S2_A7_M0	MODULE	UP
L1_B09_S2_A7	PP0	M2	L1_B09_S2_A7_M1A	MODULE	UP
L1_B09_S2_A7	PP0	M3	L1_B09_S2_A7_M2A	MODULE	UP
L1_B09_S2_A7	PP0	M4	L1_B09_S2_A7_M3A	MODULE	UP
L1_B09_S2_A7	PP0	M5	L1_B09_S2_A7_M4A	MODULE	UP
L1_B09_S2_A7	PP0	M6	L1_B09_S2_A7_M5A	MODULE	UP
L1_B09_S2_A7	PP0	M7	L1_B09_S2_A7_M6A	MODULE	UP
L1_B10_S1_A6	PP0	M2	L1_B10_S1_A6_M1A	MODULE	UP
L1_B10_S1_A6	PP0	M3	L1_B10_S1_A6_M2A	MODULE	UP
L1_B10_S1_A6	PP0	M4	L1_B10_S1_A6_M3A	MODULE	UP
L1_B10_S1_A6	PP0	M5	L1_B10_S1_A6_M4A	MODULE	UP
L1_B10_S1_A6	PP0	M6	L1_B10_S1_A6_M5A	MODULE	UP
L1_B10_S1_A6	PP0	M7	L1_B10_S1_A6_M6A	MODULE	UP
					
					
L1_B08_S1_A6	PP0	M2	L1_B08_S1_A6_M1A	MODULE	UP
L1_B08_S1_A6	PP0	M3	L1_B08_S1_A6_M2A	MODULE	UP
L1_B08_S1_A6	PP0	M4	L1_B08_S1_A6_M3A	MODULE	UP
L1_B08_S1_A6	PP0	M5	L1_B08_S1_A6_M4A	MODULE	UP
L1_B08_S1_A6	PP0	M6	L1_B08_S1_A6_M5A	MODULE	UP
L1_B08_S1_A6	PP0	M7	L1_B08_S1_A6_M6A	MODULE	UP
L1_B07_S2_A7	PP0	M1	L1_B07_S2_A7_M0	MODULE	UP
L1_B07_S2_A7	PP0	M2	L1_B07_S2_A7_M1A	MODULE	UP
L1_B07_S2_A7	PP0	M3	L1_B07_S2_A7_M2A	MODULE	UP
L1_B07_S2_A7	PP0	M4	L1_B07_S2_A7_M3A	MODULE	UP
L1_B07_S2_A7	PP0	M5	L1_B07_S2_A7_M4A	MODULE	UP
L1_B07_S2_A7	PP0	M6	L1_B07_S2_A7_M5A	MODULE	UP
L1_B07_S2_A7	PP0	M7	L1_B07_S2_A7_M6A	MODULE	UP
L1_B07_S1_A6	PP0	M2	L1_B07_S1_A6_M1A	MODULE	UP
L1_B07_S1_A6	PP0	M3	L1_B07_S1_A6_M2A	MODULE	UP
L1_B07_S1_A6	PP0	M4	L1_B07_S1_A6_M3A	MODULE	UP
L1_B07_S1_A6	PP0	M5	L1_B07_S1_A6_M4A	MODULE	UP
L1_B07_S1_A6	PP0	M6	L1_B07_S1_A6_M5A	MODULE	UP
