# $Id: connectivity_table_C34_ISP_v22.dat,v 1.1 2007-05-10 19:13:25 jarguin Exp $					
# Source Name	Source Type	Source Slot	Destination Name	Destination Type	Destination Slot
L1_B06_S2_OB	OPTOBOARD	PP0	L1_B06_S2_C6	PP0	OB
L1_B06_S1_OB	OPTOBOARD	PP0	L1_B06_S1_C7	PP0	OB
L1_B07_S2_OB	OPTOBOARD	PP0	L1_B07_S2_C6	PP0	OB
L1_B08_S1_OB	OPTOBOARD	PP0	L1_B08_S1_C7	PP0	OB
L1_B08_S2_OB	OPTOBOARD	PP0	L1_B08_S2_C6	PP0	OB
					
					
L1_B08_S1_C7	PP0	M1	L1_B08_S1_C7_M0	MODULE	UP
L1_B08_S1_C7	PP0	M2	L1_B08_S1_C7_M1C	MODULE	UP
L1_B08_S1_C7	PP0	M3	L1_B08_S1_C7_M2C	MODULE	UP
L1_B08_S1_C7	PP0	M4	L1_B08_S1_C7_M3C	MODULE	UP
L1_B08_S1_C7	PP0	M5	L1_B08_S1_C7_M4C	MODULE	UP
L1_B08_S1_C7	PP0	M6	L1_B08_S1_C7_M5C	MODULE	UP
L1_B08_S1_C7	PP0	M7	L1_B08_S1_C7_M6C	MODULE	UP
L1_B07_S2_C6	PP0	M1	L1_B07_S2_C6_M1C	MODULE	UP
L1_B07_S2_C6	PP0	M2	L1_B07_S2_C6_M2C	MODULE	UP
L1_B07_S2_C6	PP0	M3	L1_B07_S2_C6_M3C	MODULE	UP
L1_B07_S2_C6	PP0	M4	L1_B07_S2_C6_M4C	MODULE	UP
L1_B07_S2_C6	PP0	M5	L1_B07_S2_C6_M5C	MODULE	UP
L1_B07_S2_C6	PP0	M6	L1_B07_S2_C6_M6C	MODULE	UP
L1_B07_S1_C7	PP0	M1	L1_B07_S1_C7_M0	MODULE	UP
L1_B07_S1_C7	PP0	M2	L1_B07_S1_C7_M1C	MODULE	UP
L1_B07_S1_C7	PP0	M3	L1_B07_S1_C7_M2C	MODULE	UP
L1_B07_S1_C7	PP0	M4	L1_B07_S1_C7_M3C	MODULE	UP
L1_B07_S1_C7	PP0	M5	L1_B07_S1_C7_M4C	MODULE	UP
L1_B07_S1_C7	PP0	M6	L1_B07_S1_C7_M5C	MODULE	UP
L1_B07_S1_C7	PP0	M7	L1_B07_S1_C7_M6C	MODULE	UP
D2C_B02_S2	PP0	M3	D2C_B02_S2_M1	MODULE	UP
D2C_B02_S2	PP0	M7	D2C_B02_S2_M2	MODULE	UP
D2C_B02_S2	PP0	M5	D2C_B02_S2_M3	MODULE	UP
D2C_B02_S2	PP0	M2	D2C_B02_S2_M4	MODULE	UP
D2C_B02_S2	PP0	M6	D2C_B02_S2_M5	MODULE	UP
D2C_B02_S2	PP0	M4	D2C_B02_S2_M6	MODULE	UP
L1_B06_S1_C7	PP0	M1	L1_B06_S1_C7_M0	MODULE	UP
L1_B06_S1_C7	PP0	M2	L1_B06_S1_C7_M1C	MODULE	UP
L1_B06_S1_C7	PP0	M3	L1_B06_S1_C7_M2C	MODULE	UP
L1_B06_S1_C7	PP0	M4	L1_B06_S1_C7_M3C	MODULE	UP
L1_B06_S1_C7	PP0	M5	L1_B06_S1_C7_M4C	MODULE	UP
L1_B06_S1_C7	PP0	M6	L1_B06_S1_C7_M5C	MODULE	UP
L1_B06_S1_C7	PP0	M7	L1_B06_S1_C7_M6C	MODULE	UP
L1_B06_S2_C6	PP0	M1	L1_B06_S2_C6_M1C	MODULE	UP
L1_B06_S2_C6	PP0	M2	L1_B06_S2_C6_M2C	MODULE	UP
L1_B06_S2_C6	PP0	M3	L1_B06_S2_C6_M3C	MODULE	UP
L1_B06_S2_C6	PP0	M4	L1_B06_S2_C6_M4C	MODULE	UP
L1_B06_S2_C6	PP0	M5	L1_B06_S2_C6_M5C	MODULE	UP
L1_B06_S2_C6	PP0	M6	L1_B06_S2_C6_M6C	MODULE	UP
					
					
