# date: 24 March 2015
# used https://twiki.cern.ch/twiki/bin/view/LHCPhysics/SUSYCrossSections13TeVgluglu
# format : datasetID   finalState   XS(pb)   K-factor   filterEff   relUncertainty
148248        2     3.0811         1      1      0.142311
148261        2     0.0942072      1      1      0.183623
148273        2     0.0942072      1      1      0.183623
148283        2     0.0942072      1      1      0.183623
148291        2     0.0942072      1      1      0.183623
174391        2     0.0732255      1      1      0.187227
174396        2     0.0276679      1      1      0.206729
174421        2     0.0460525      1      1      0.1964
174460        2     0.0141903      1      1      0.227296
174467        2     0.0141903      1      1      0.227296
174469        2     0.0141903      1      1      0.227296
174471        2     0.0141903      1      1      0.227296
174472        2     0.0141903      1      1      0.227296
174474        2     0.0141903      1      1      0.227296
204639        2     0.0110039      1      1      0.23456
204640        2     0.0045807      1      1      0.262095
204641        2     0.0019602      1      1      0.292103
204642        2     0.0008638      1      1      0.323142
204892        2     0.0856418      1      1      0.184814
204893        2     0.0460525      1      1      0.1964
204894        2     0.0252977      1      1      0.209163
204895        2     0.0141903      1      1      0.227296
