Var:eta[min]  Var:eta[max]  Var:sector[min]  Var:sector[max]  Name
-2.50         -2.30         0                1                Region1
-2.30         -2.00         0                1                Region2
-2.00         -1.70         0                1                Region3
-1.70         -1.50         0                1                Region4
-1.50         -1.25         0                1                Region5
-1.25         -1.05         0                1                Region6
-1.05         -0.80         0                1                Region7
-0.80         -0.40         0                1                Region8
-0.40         0.00          0                1                Region9
0.00          0.40          0                1                Region10
0.40          0.80          0                1                Region11
0.80          1.05          0                1                Region12
1.05          1.25          0                1                Region13
1.25          1.50          0                1                Region14
1.50          1.70          0                1                Region15
1.70          2.00          0                1                Region16
2.00          2.30          0                1                Region17
2.30          2.50          0                1                Region18
