Var:eta[min]  Var:eta[max]  Var:sector[min]  Var:sector[max]  Name
-2.50            -2.00      0                0                Region1Small
-2.50            -2.00      1                1                Region1Large
-2.00            -1.50      0                0                Region2Small
-2.00            -1.50      1                1                Region2Large
-1.50            -1.00      0                0                Region3Small
-1.50            -1.00      1                1                Region3Large
-1.00            -0.50      0                0                Region4Small
-1.00            -0.50      1                1                Region4Large
-0.50            0.00       0                0                Region5Small
-0.50            0.00       1                1                Region5Large
0.00             0.50       0                0                Region6Small
0.00             0.50       1                1                Region6Large
0.50             1.00       0                0                Region7Small
0.50             1.00       1                1                Region7Large
1.00             1.50       0                0                Region8Small
1.00             1.50       1                1                Region8Large
1.50             2.00       0                0                Region9Small
1.50             2.00       1                1                Region9Large
2.00             2.50       0                0                Region10Small
2.00             2.50       1                1                Region10Large
